CUI,STR
C0155886,"Asthma, unspecified type, without mention of status asthmaticus"
C0155886,Asthma NOS
C0155886,"Asthma, unspecified type, unspecified"
C0549336,asthma aggravated
C0549336,aggravated asthma
C0347950,Asthma attack
C0347950,asthmatic attack
C0347950,asthma attack
C0347950,asthma attacks
C0006266,Bronchial Spasm
C0006266,Bronchial Spasms
C0006266,Bronchospasms
C0006266,"Spasm, Bronchial"
C0006266,"Spasms, Bronchial"
C0006266,BRONCHOSPASM
C0006266,Bronchial spasm
C0006266,SPASM BRONCHIAL
C0006266,bronchospasm
C0006266,Bronchospasm NOS
C0006266,Bronchospasm
C0006266,Bronchial Spasm [Disease/Finding]
C0006266,bronchial spasms
C0006266,bronchial spasm
C0006266,bronchospasms
C0006277,Bronchitides
C0006277,Bronchitis
C0006277,BRONCHITIS
C0006277,bronchitis
C0006277,Bronchitis NOS
C0006277,Bronchitis [Disease/Finding]
C0006277,Bronchial infection
C0006277,"Bronchitis, not specified as acute or chronic"
C0033931,Psychophysiologic Disorders
C0033931,Psychophysiological Disorder
C0033931,Psychophysiologic Disorder
C0033931,Psychosomatic Disorder
C0033931,psychosomatic disorder
C0033931,PSYCHOSOMATIC DIS
C0033931,PSYCHOPHYSIOL DIS
C0033931,psychophysiologic disorder
C0033931,psychosomatic disorders
C0033931,psychophysiological dysfunction
C0033931,Psychosomatic Disorders
C0033931,Psychophysiologic Disorders [Disease/Finding]
C0033931,Psychophysiological Disorders
C0033931,psychophysiological disorder
C0033931,psychosomatic illness
C0033931,illness psychosomatic
C0033931,illnesses psychosomatic
C0033931,diseases psychosomatic
C0033931,psychophysiologic disorders
C0033931,psychosomatic disease
C0033931,psychophysiological disorders
C0033931,disease psychosomatics
C0033931,Psychosomatic disorder NOS
C0033931,Psychophysiologic disorder NOS
C0085129,Bronchial Hyperreactivities
C0085129,Bronchial Hyperreactivity
C0085129,"Hyperreactivities, Bronchial"
C0085129,"Hyperreactivity, Bronchial"
C0085129,Bronchial Hyperreactivity [Disease/Finding]
C0085129,bronchial hyperresponsiveness
C0085129,bronchial hyperreactivity
C0085129,bronchial hypersensitivity
C0085129,bronchial hyperactivity
C0282556,"Agents, Anti-Asthmatic"
C0282556,"Agents, Antiasthmatic"
C0282556,Anti Asthmatic Agents
C0282556,Anti Asthmatic Drugs
C0282556,Anti Asthmatics
C0282556,Anti-Asthmatic Agents
C0282556,"Drugs, Anti-Asthmatic"
C0282556,"Drugs, Antiasthmatic"
C0282556,ANTIASTHMATIC AGENTS
C0282556,anti-asthmatic drugs
C0282556,antiasthmatics drugs
C0282556,anti asthmatic drugs
C0282556,antiasthmatics
C0282556,antiasthmatic drugs
C0282556,antiasthmatics drug
C0282556,anti asthmatics
C0282556,anti-asthmatics
C0282556,anti asthmatic
C0282556,antiasthmatic
C0282556,Antiasthmatic agents
C0282556,Anti-Asthmatics
C0282556,Anti-Asthmatic Drugs
C0282556,Antiasthmatic Agents
C0282556,Antiasthmatics
C0282556,Antiasthmatic Drugs
C0282556,Anti-asthmatic Agent
C0694548,Cough variant asthma
C0694548,asthma cough variant
C0694548,cough variant asthma
C0375321,Urt hypersens react NOS
C0375321,"Upper respiratory tract hypersensitivity reaction, site unspecified"
C0235906,BRONCHOSPASM AGGRAVATED
C0043144,Wheezing
C0043144,Wheezings
C0043144,WHEEZING
C0043144,PIPING I BRYSTET M/PUSTEVANSKER
C0043144,Piben i brystet
C0043144,Piepende ademhaling
C0043144,Respiracao ruidosa/sibilante
C0043144,Respiracion jadeante/ruidosa
C0043144,Sibili respiratori
C0043144,Sihilonces respiratoires
C0043144,VASANDE ANDNING
C0043144,VINKUNA
C0043144,pfeifende Atmung/Obstruktion
C0043144,zihalas/liheges
C0043144,ARNAS ZIZTUAK(WHEZZING)
C0043144,Wheeze
C0043144,tziftzufim
C0043144,wheezes
C0043144,wheezing
C0043144,wheezy
C0043144,wheeze
C0043144,Wheezes
C0231875,WHEEZING EXPIRATORY
C0231875,expiratory wheeze
C0231875,expiratory wheezing
C0013404,Breathlessness
C0013404,Dyspnea
C0013404,Dyspneas
C0013404,BREATH SHORTNESS
C0013404,BREATHING DIFFICULT
C0013404,BREATHLESSNESS
C0013404,DIFFICULTY BREATHING
C0013404,DYSPNEA
C0013404,DYSPNOEA
C0013404,SHORTNESS OF BREATH
C0013404,SOB
C0013404,SOB (SHORTNESS OF BREATH)
C0013404,dyspnea
C0013404,Shortness of Breath
C0013404,Shortness of breath dyspnea
C0013404,ANDNOD/DYSPNE
C0013404,Andenod/dyspno
C0013404,Dispneia/fadiga respiratoria
C0013404,Dyspnoe/benauwdheid
C0013404,"Fatiga respiratoria, disnea"
C0013404,HENGENAHDISTUS/DYSPNEA
C0013404,Kurzatmigkeit/Dyspnoe
C0013404,Respiro affannoso dispnea
C0013404,Souffle court/dyspnee
C0013404,TUNGPUSTET/KORTPUSTET/DYSPNE
C0013404,nehezlegzes/dyspnoe
C0013404,Shortness of breath
C0013404,"ARNASBEHARRA, DISNEA"
C0013404,kotzer neshima
C0013404,Dyspnea [Disease/Finding]
C0013404,Breath Shortness
C0013404,Breath Shortnesses
C0013404,breathing difficulties
C0013404,breathlessness
C0013404,breathing difficulty
C0013404,dyspnoea
C0013404,breathless
C0013404,shortness of breath
C0013404,difficult breathing
C0013404,breathing shortness
C0013404,respiratory difficulty
C0013404,breath shortness
C0013404,shortness of breath (SOB)
C0013404,Respiratory difficulties
C0013404,Breathlessnesses
C0013404,Breathing Difficulties
C0013404,Difficulty Breathing
C0013404,Short of breath
C0013404,tightness of breath
C0553668,RESPIRATION LABORED
C0553668,breathing labor
C0553668,breathing labored
C0553668,labored breathing
C0553668,laboured breathing
C0553668,labored respiration
C0553668,labored respirations
C0553668,breathing labour
C0553668,Labored Breathing
C0553668,Labored breathing
C0004096,Asthma
C0004096,Asthmas
C0004096,ASTHMA BRONCHIAL
C0004096,ASTHMA
C0004096,"ASTHMA, BRONCHIAL"
C0004096,asthma
C0004096,BRONCHIAL ASTHMA
C0004096,Bronchial asthma
C0004096,ASTMA
C0004096,Asma
C0004096,Asthme
C0004096,Astma
C0004096,ARNASESTUA
C0004096,astma
C0004096,Asthma [Disease/Finding]
C0004096,Bronchial Asthma
C0004096,"Asthma, Bronchial"
C0004096,asthma disorders
C0004096,asthmatic
C0004096,br asthma
C0004096,bronchial asthma
C0004096,asthmatics
C0004096,bronchitic asthma
C0004096,"Asthma, unspecified"
C0038218,Asthmatic Crises
C0038218,Asthmatic Shocks
C0038218,"Asthmaticus, Status"
C0038218,"Crises, Asthmatic"
C0038218,"Crisis, Asthmatic"
C0038218,"Shock, Asthmatic"
C0038218,"Shocks, Asthmatic"
C0038218,Status Asthmaticus
C0038218,STATUS ASTHMATICUS
C0038218,Asthma w status asthmat
C0038218,Asthmatic Shock
C0038218,Status Asthmaticus [Disease/Finding]
C0038218,Asthmatic Crisis
C0038218,acute severe asthma
C0038218,asthma asthmaticus status
C0038218,status asthmaticus
C0038218,asthmatic crisis
C0038218,severe acute asthma
C0038218,asthmaticus status
C0038218,Acute severe asthma
C0038218,Status asthmaticus
C0038218,"Asthma, unspecified type, with status asthmaticus"
C2984299,Asthma Pathway
C2984299,Asthma
C0037763,Spasm
C0037763,MUSCLE SPASM
C0037763,SPASMS
C0037763,Muscle Spasms
C0037763,SPASM MUSCLE
C0037763,Spasms
C0037763,spasm
C0037763,Muscle Spasm
C0037763,"Spasm, Muscle"
C0037763,"Spasms, Muscle"
C0037763,Spasm of muscle
C0037763,Muscular Spasm
C0037763,Spasm [Disease/Finding]
C0037763,muscular spasms
C0037763,muscle spasms
C0037763,muscular spasm
C0037763,muscle spasm
C0037763,spasms
C0037763,Muscular Spasms
C0037763,"Spasm, Muscular"
C0037763,"Spasms, Muscular"
C0037763,Muscle spasm
C0037763,"Spasm(s), Muscle"
C0037763,Muscle Spasm(s)
C0037763,Muscle spasms
C0037763,Spasms NOS
C1260881,ALLERGIC BRONCHITIS
C1260881,bronchitis allergic
C1260881,allergic bronchitis
C1260881,Allergic bronchitis
C1260881,"Bronchitis, allergic"
C0035204,"Disorders, Respiration"
C0035204,Respiration Disorder
C0035204,Respiration Disorders
C0035204,RESPIRATORY DISORDER
C0035204,DISORDER RESPIRATORY SYSTEM
C0035204,"Disorder, Respiration"
C0035204,RESPIRATORY SYSTEM DISORDER OF
C0035204,respiratory disorder
C0035204,RESPIRATORY DISORDER (NOS)
C0035204,RESPIRATION DIS
C0035204,Diseases of the respiratory system
C0035204,Hx resp system dis NOS
C0035204,Resp system disease NOS
C0035204,Respiration Disorders [Disease/Finding]
C0035204,Personal history of unspecified disease of respiratory system
C0035204,disorder respiratory
C0035204,disorders respiratory
C0035204,Respiratory Diseases
C0035204,Disorder of Respiratory System
C0035204,Respiratory System Disorder
C0035204,Respiratory Disorder
C0035204,Respiratory disease
C0035204,Unspecified disease of respiratory system
C0035204,DISEASES OF THE RESPIRATORY SYSTEM
C0035204,Respiratory disease NOS
C0155877,Allergic asthma
C0155877,asthma allergic
C0155877,asthma atopic
C0155877,extrinsic asthma
C0155877,asthma extrinsic
C0155877,allergic asthma
C0155877,atopic asthma
C0155877,Extrinsic asthma
C0155877,"Asthma, atopic"
C0155877,"Asthma, allergic NOS"
C1319018,BRONCHITIS ASTHMATIC
C1319018,asthmatic bronchitis
C1319018,bronchitis asthma
C1319018,asthma bronchitis
C1319018,wheezy bronchitis
C1319018,bronchitis asthmatic
C1319018,Asthmatic bronchitis
C1319018,"Bronchitis, asthmatic"
C0004099,"Asthma, Exercise Induced"
C0004099,"Asthma, Exercise-Induced"
C0004099,"Asthmas, Exercise-Induced"
C0004099,Exercise Induced Asthma
C0004099,Exercise-Induced Asthmas
C0004099,EXERCISE IND ASTHMA
C0004099,ASTHMA EXERCISE IND
C0004099,Exercise-Induced Asthma
C0004099,"Asthma, Exercise-Induced [Disease/Finding]"
C0004099,exercised induced asthma
C0004099,asthma exercise induced
C0004099,asthma induced exercise
C0004099,exercise-induced asthma
C0004099,exercise induced asthma
C0004099,Exercise-induced asthma
C1840085,"IL4R, SER503PRO"
C1869116,"ASTHMA, SUSCEPTIBILITY TO"
C1869116,"ASTHMA, SUSCEPTIBILITY TO (finding)"
C1869116,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO"
C1869116,"ASTHMA, BRONCHIAL"
C1869116,Asthma susceptibility
C1969640,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 6"
C1969640,ASRT6
C0005587,Bipolar Depression
C0005587,"MANIC DEPRESSIVE DISEASE, DEPRESSED PHASE"
C0005587,"BIPOLAR DISEASE, DEPRESSED"
C0005587,"BIPOLAR DISORDER, DEPRESSED"
C0005587,"CYCLOTHYMIC DISORDER, DEPRESSED"
C0005587,bipolar depression
C0005587,MANIC DEPRESSIVE DISEASE DEPRESSED PHASE
C0005587,bipolar depression disorder
C0005587,bipolar disorder depressed
C0005587,depression bipolar disorder
C0005587,depression bipolar
C0005587,bipolar disorder depression
C0005587,"Depression, Bipolar"
C0024713,Manic Disorders
C0024713,"MANIC DEPRESSIVE DISEASE, MANIC PHASE"
C0024713,bipolar depression manic phase
C0024713,"BIPOLAR DISEASE, MANIC"
C0024713,"BIPOLAR DISORDER, MANIC"
C0024713,"CYCLOTHYMIC DISORDER, MANIC"
C0024713,"Disorder, Manic"
C0024713,MANIC DISORDER
C0024713,MANIC DEPRESSIVE DISEASE MANIC PHASE
C0024713,MANIC DIS
C0024713,bipolar disorder manic phase
C0024713,manic disorder
C0024713,monopolar mania
C0024713,Bipol I currnt manic NOS
C0024713,bipolar disorder manic
C0024713,manic disorders
C0024713,"Bipolar affective disorder, manic, unspecified degree"
C0024713,"Bipolar I disorder, most recent episode (or current) manic, unspecified"
C0024713,Manic Bipolar Affective Disorder
C0024713,Manic Disorder
C1269683,MAJOR DEPRESSION
C1269683,MAJOR DEPRESSIVE DISORDER
C1269683,major depression
C1269683,"Disorder, Major Depressive"
C1269683,"Disorders, Major Depressive"
C1269683,Major Depressive Disorders
C1269683,MDD
C1269683,DEPRESSIVE DIS MAJOR
C1269683,MAJOR DEPRESSIVE DIS
C1269683,major depressive disorder
C1269683,"Depressive Disorder, Major [Disease/Finding]"
C1269683,"Depressive Disorder, Major"
C1269683,Major Depressive Disorder
C1269683,major depressive illness
C1269683,Major depressive disorder
C1269683,"Depressive Disorders, Major"
C1970943,MAFD4
C1970943,BPAD
C1970943,MAJOR AFFECTIVE DISORDER 4
C1970943,Major Affective Disorder 4
C1970943,BIPOLAR AFFECTIVE DISORDER
C1970944,MAFD5
C1970944,MAJOR AFFECTIVE DISORDER 5
C1970944,Major Affective Disorder 5
C1970945,MAFD6
C1970945,MAJOR AFFECTIVE DISORDER 6
C1970945,BPAD
C1970945,Major Affective Disorder 6
C1970945,BIPOLAR AFFECTIVE DISORDER
C2700438,MAJOR AFFECTIVE DISORDER 7
C2700438,MAFD7
C2700438,Major Affective Disorder 7
C2700438,BIPOLAR AFFECTIVE DISORDER
C2700440,MAFD9
C2700440,MAJOR AFFECTIVE DISORDER 9
C2700440,Major Affective Disorder 9
C2700440,BIPOLAR AFFECTIVE DISORDER
C0001723,"Affective Disorder, Psychotic"
C0001723,"Affective Disorders, Psychotic"
C0001723,"Disorder, Psychotic Affective"
C0001723,"Disorders, Psychotic Affective"
C0001723,Psychotic Affective Disorder
C0001723,Affective Psychoses
C0001723,Affective psychosis
C0001723,PSYCHOTIC AFFECTIVE DIS
C0001723,AFFECTIVE DIS PSYCHOTIC
C0001723,affective psychosis
C0001723,AFFEKTIIVINEN PSYKOOSI
C0001723,AFFEKTIVA PSYKOSER
C0001723,AFFEKTIVE PSYKOSER
C0001723,Affectieve psychosen
C0001723,Affektiv psykose
C0001723,Psicoses afectivas
C0001723,Psicosi affettiva
C0001723,Psicosis afectivas
C0001723,Psychoses affectives
C0001723,affektiv pszichozis
C0001723,affektive Psychosen
C0001723,HUNKIOR PSIKOSIA
C0001723,"Psychoses, Affective"
C0001723,Psychotic Affective Disorders
C0001723,"Affective Disorders, Psychotic [Disease/Finding]"
C0001723,affective psychoses
C0001723,affective disorder psychotic
C0001723,Affective Psychosis
C0001723,Affective psychosis NOS
C0235852,CYCLOTHYMIC REACTION
C2937260,mixed bipolar disorder
C2937260,"Bipolar disorder, mixed"
C2937260,bipolar disorder mixed
C0270434,Bipol I cur mixed remiss
C0270434,"Bipolar I disorder, most recent episode (or current) mixed, in full remission"
C0270434,"Bipolar affective disorder, mixed, in full remission"
C0154420,Bipol I manic-sev w psy
C0154420,"Bipolar affective disorder, manic, severe degree, specified as with psychotic behavior"
C0154420,"Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior"
C0154427,Bipol I currnt dep w psy
C0154427,"Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavior"
C0154427,"Bipolar affective disorder, depressed, severe degree, specified as with psychotic behavior"
C0154432,Bipol I cur mix w/o psy
C0154432,"Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior"
C0154432,"Bipolar affective disorder, mixed, severe degree, without mention of psychotic behavior"
C0154433,Bipol I cur mixed w psy
C0154433,"Bipolar affective disorder, mixed, severe degree, specified as with psychotic behavior"
C0154433,"Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior"
C0011581,Depressive Disorders
C0011581,Depressive Disorder
C0011581,Depressive Neuroses
C0011581,"Disorder, Depressive"
C0011581,"Disorders, Depressive"
C0011581,"Neuroses, Depressive"
C0011581,DEPRESSIVE NEUROSIS
C0011581,Depressive Neurosis
C0011581,Depressive disorder
C0011581,depressive neurosis
C0011581,DEPRESSIVE DIS
C0011581,Alteraciones depresivas
C0011581,DEPRESSIV STORNING
C0011581,DEPRESSIV TILSTAND/NEUROSE
C0011581,Depressie
C0011581,Depressiv tilstand
C0011581,Disturbo depressivo
C0011581,MASENTUNEISUUS
C0011581,Perturbacoes depressivas
C0011581,Trouble depressif
C0011581,depressive Stoerung
C0011581,depresszio
C0011581,DEPRESIO NAHASTEAK
C0011581,Depressive Disorder [Disease/Finding]
C0011581,hafraa dikonit
C0011581,"Neurosis, Depressive"
C0011581,depression
C0011581,depressive illness
C0011581,depression nos
C0011581,depressive disorder
C0011581,Depression
C0011581,Depressivity
C0011581,Depressive disorder NOS
C0152125,acute psychogenic paranoid psychosis
C0152125,acute paranoid reaction
C0152125,Acute paranoid reaction
C0152125,Acute psychogenic paranoid psychosis
C0855233,Bipolární porucha NEC in MDRCZE20_1
C0154436,atypical manic disorder
C0154436,Atypical manic disorder
C0154437,atypical depressive disorder
C0154437,Atypical depressive dis
C0154437,atypical depression
C0154437,Atypical depressive disorder
C0154393,"Manic disorder, single episode, severe degree, specified as with psychotic behavior"
C0154393,Bipo I sin man-sev w psy
C0154393,"Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior"
C0338831,Manias
C0338831,Manic States
C0338831,"State, Manic"
C0338831,"States, Manic"
C0338831,MANIA
C0338831,Manic
C0338831,Manic State
C0338831,Mania
C0338831,manic state
C0338831,manic
C0525045,AFFECTIVE DISORDER
C0525045,Affective Disorders
C0525045,"Disorders, Affective"
C0525045,mood disorder
C0525045,Affective Disorder
C0525045,Affective disorders
C0525045,"Disorder, Affective"
C0525045,Mood Disorders
C0525045,"Disorder, Mood"
C0525045,"Disorders, Mood"
C0525045,Mood Disorder
C0525045,Mood disorders
C0525045,AFFECTIVE DIS
C0525045,MOOD DIS
C0525045,affective disorder
C0525045,Mood Disorders [Disease/Finding]
C0525045,affective mood disorders
C0525045,affective disorders
C0525045,disorder affect
C0525045,affects disorder
C0525045,affecive disorder nos
C0525045,mood disorders
C0525045,affect disorders
C0525045,mood disorder nos
C0525045,affect disorder
C0525045,disorder mood
C0525045,disorders mood
C0525045,affecive disorder
C0525045,Mood disorder NOS
C0270458,Severe major depression with psychotic features
C0233479,MOOD ELEVATED
C0233479,elevated mood
C0233479,elevating mood
C0233479,elevate mood
C0233479,Elevated mood
C0010598,Cyclothymic Disorder
C0010598,Cyclothymic Disorders
C0010598,Cyclothymic Personalities
C0010598,Cyclothymic Personality
C0010598,"Disorder, Cyclothymic"
C0010598,"Disorders, Cyclothymic"
C0010598,"Personalities, Cyclothymic"
C0010598,"Personality, Cyclothymic"
C0010598,cyclothymia
C0010598,CYCLOTHYMIC DIS
C0010598,cycloid personality
C0010598,cyclothymic personality
C0010598,affective personality disorder
C0010598,cyclothymic disorder
C0010598,Cyclothymic disorder
C0010598,Affectiv personality NOS
C0010598,Cyclothymic Disorder [Disease/Finding]
C0010598,affective personality
C0010598,cyclothymia disorder
C0010598,cyclothymic disorders
C0010598,Cyclothymia
C0010598,Affective personality disorder
C0010598,Cyclothymic personality
C0010598,"Affective personality disorder, unspecified"
C0010598,Cycloid personality
C0743072,PSYCHOTIC DEPRESSION
C0743072,DEPRESSION PSYCHOTIC
C0743072,psychotic depression
C0743072,DEPRESSIVE PSYCHOSIS
C0743072,PSYCHOSIS DEPRESSIVE
C0743072,depressive psychosis
C0743072,depression psychotic
C0743072,"Depression, psychotic"
C0678190,mania (psychotic)
C0012706,Depressive disorder NEC in SNOMEDCT
C0004936,"Disorders, Mental"
C0004936,Mental Disorder
C0004936,Mental Disorders
C0004936,"Disorder, Mental"
C0004936,Unspecified Mental Disorder
C0004936,mental disorder
C0004936,Mental Dysfunction
C0004936,Psychiatric disorders
C0004936,PSYCHIATRIC NONSPECIFIC
C0004936,MENTAL DIS
C0004936,psychological disorder
C0004936,mental illness
C0004936,psychiatric disorder
C0004936,mental dysfunction
C0004936,psychological dysfunction
C0004936,psychiatric illness
C0004936,Mental disorders
C0004936,Mental Disorders [Disease/Finding]
C0004936,disease mental
C0004936,illness psychiatric
C0004936,mental disorder disorder
C0004936,mental health disorder
C0004936,disorder mental
C0004936,psychiatric disorders
C0004936,dysfunctions psychological
C0004936,diseases mental
C0004936,mental disease
C0004936,mental disorders
C0004936,dysfunctions mental
C0004936,disorder mental health
C0004936,disorder psychological
C0004936,disorder health mental
C0004936,disorder psychiatric
C0004936,illnesses psychiatric
C0004936,Mental illness
C0004936,Psychiatric Disorders
C0004936,Psychiatric Disorder
C0004936,Psychological Disorders
C0004936,Mental Illness
C0004936,Psychiatric Disease
C0865318,Atypical bipolar affective disorder NOS
C0865319,"Manic-depressive psychosis, circular type, current condition not specified as either manic or depressive"
C1839839,MAJOR AFFECTIVE DISORDER 2
C1839839,MDX
C1839839,MAFD2
C1839839,MDI
C1839839,BPAD
C1839839,"Manic-Depressive Psychosis, X-Linked"
C1839839,Manic-Depressive Illness
C1839839,Major Affective Disorder 2
C1839839,BIPOLAR AFFECTIVE DISORDER
C1839839,MANIC-DEPRESSIVE ILLNESS
C1839839,"MANIC-DEPRESSIVE PSYCHOSIS, X-LINKED"
C1852197,MD1
C1852197,MAFD1
C1852197,BPAD
C1852197,MAJOR AFFECTIVE DISORDER 1
C1852197,"Manic-Depressive Psychosis, Autosomal"
C1852197,Major Affective Disorder 1
C1852197,BIPOLAR AFFECTIVE DISORDER
C1852197,"MANIC-DEPRESSIVE PSYCHOSIS, AUTOSOMAL"
C1852197,MANIC-DEPRESSIVE PSYCHOSIS
C0010054,ATHEROSCLEROTIC CORONARY VASCULAR DISEASE
C0010054,"Arterioscleroses, Coronary"
C0010054,Coronary Arterioscleroses
C0010054,Coronary Arteriosclerosis
C0010054,ASHD
C0010054,ATHEROSCLEROTIC HEART DISEASE
C0010054,CORONARY ARTERIOSCLEROSIS
C0010054,CORONARY ATHEROSCLEROSIS
C0010054,CORONARY SCLEROSIS
C0010054,Coronary atherosclerosis
C0010054,ARTERIOSCLEROTIC HEART DISEASE
C0010054,ARTERIOSCLEROSIS CORONARY ARTERY
C0010054,cardiac ischemia
C0010054,myocardial ischemia
C0010054,arteriosclerotic heart disease
C0010054,cardiac ischaemia
C0010054,coronary atheroma
C0010054,coronary sclerosis
C0010054,ischaemic heart disease
C0010054,atherosclerotic heart disease
C0010054,coronary heart disease
C0010054,myocardial ischaemia
C0010054,coronary artery atherosclerosis
C0010054,coronary artery diseases
C0010054,coronary arteriosclerosis
C0010054,coronary artery disease
C0010054,coronary atherosclerosis
C0010054,"Atherosclerosis, Coronary"
C0010054,Coronary arteriosclerosis
C0010054,"Arteriosclerosis, Coronary"
C0010054,Arteriosclerotic heart disease
C0010054,Coronary artherosclerosis
C0010054,Coronary Atherosclerosis
C0010054,"Atheroscleroses, Coronary"
C0010054,Coronary Atheroscleroses
C0010054,Atherosclerotic heart disease
C0010054,Coronary sclerosis
C0010054,Coronary artery sclerosis
C0010054,Coronary artery arteriosclerosis
C1956346,Coronary Artery Disease
C1956346,CORONARY ARTERY DISORDER
C1956346,CAD
C1956346,CORONARY ARTERY DISEASE
C1956346,DISORDER CORONARY ARTERY
C1956346,DISEASE CORONARY ARTERY
C1956346,CORONARY ARTERY DISORDER (NOS)
C1956346,Coronary artery disease
C1956346,HEART: CORONARY ARTERY
C1956346,"Artery Diseases, Coronary"
C1956346,Coronary Artery Diseases
C1956346,"Disease, Coronary Artery"
C1956346,"Artery Disease, Coronary"
C1956346,"Diseases, Coronary Artery"
C1956346,CORONARY ARTERY DIS
C1956346,CAD (coronary artery disease)
C1956346,coronary artery disorder
C1956346,coronary artery disease
C1956346,Coronary Disease
C1956346,Coronary Artery Disease [Disease/Finding]
C1956346,coronary heart disease
C1956346,Coronary disease
C0587370,Aortocoronary bypass grafting
C0189695,Anastomosis of artery with bypass graft (procedure)
C0189695,arterial bypass graft
C0189695,artery bypass graft
C0010075,Coronary Vessel
C0010075,Coronary Vessels
C0010075,"Vessel, Coronary"
C0010075,"Vessels, Coronary"
C0010075,coronary vessel
C0010075,coronary vessels
C0010075,vessel coronary
C0010068,Coronary Disease
C0010068,Coronary Diseases
C0010068,Coronary Heart Diseases
C0010068,"Disease, Coronary Heart"
C0010068,"Diseases, Coronary"
C0010068,"Diseases, Coronary Heart"
C0010068,"Heart Disease, Coronary"
C0010068,"Heart Diseases, Coronary"
C0010068,coronary disorder
C0010068,CORONARY DISEASE
C0010068,Coronary heart disease
C0010068,"Disease, Coronary"
C0010068,CORONARY DIS
C0010068,CORONARY HEART DIS
C0010068,CHD (coronary heart disease)
C0010068,coronary heart disease
C0010068,Coronary Disease [Disease/Finding]
C0010068,Coronary Heart Disease
C0010068,coronary disease
C0010068,coronary heart diseases
C0010068,coronary diseases
C0018821,heart surgery
C0018821,Cardiac Surgery procedures
C0018821,Cardiac Surgical Procedures
C0018821,CARDIAC SURG PROCEDURE
C0018821,HEART SURG PROCEDURE
C0018821,SURG PROCEDURE CARDIAC
