CUI,AUI,ATUI,SATUI,SAB,DEF,SUPPRESS,CVF,CNAME,,,,,,,,,,,,,,,,
C0011570,A0477547,AT51219566,NULL,CSP,"unpleasant, but not necessarily irrational or pathological, mood state characterized by sadness, despair, or discouragement; the blues""; may also involve low self-esteem",social withdrawal,"and somatic symptoms such as eating and sleep disturbance.""",Mental Depression,NULL,,,,,,,,,,,,,,,
C0011849,A18572274,AT130673334,NULL,CHV,diabetes mellitus,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A18590933,AT130673335,NULL,CHV,diabetes mellitus,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A18590934,AT130673336,NULL,CHV,diabetes mellitus,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A18628065,AT130673337,NULL,CHV,diabetes mellitus,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A18628066,AT130673338,NULL,CHV,diabetes mellitus,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A18646728,AT130673339,NULL,CHV,diabetes mellitus,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A7570023,AT197967334,NULL,NCI,A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A7570023,AT198004766,NULL,NCI_NCI-GLOSS,A disease in which the body does not control the amount of glucose (a type of sugar) in the blood and the kidneys make a large amount of urine. This disease occurs when the body does not make enough insulin or does not use it the way it should.,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A24672870,AT206298707,NULL,HPO,A group of abnormalities characterized by hyperglycemia and glucose intolerance. [HPO:probinson],N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A21144151,AT220104434,NULL,MEDLINEPLUS,"<p>Diabetes is a disease in which your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. Glucose comes from the foods you eat. Insulin is a hormone that helps the glucose get into your cells to give them energy. With <a href='https://medlineplus.gov/diabetestype1.html'>type 1 diabetes</a>, your body does not make insulin. With <a href='https://medlineplus.gov/diabetestype2.html'>type 2 diabetes</a>, the more common type, your body does not make or use insulin well. Without enough insulin, the glucose stays in your blood. You can also have <a href='https://medlineplus.gov/prediabetes.html'>prediabetes</a>. This means that your blood sugar is higher than normal but not high enough to be called diabetes. Having prediabetes puts you at a higher risk of getting type 2 diabetes.</p> <p>Over time, having too much glucose in your blood can cause <a href='https://medlineplus.gov/diabetescomplications.html'>serious problems</a>. It can damage your <a href='https://medlineplus.gov/diabeticeyeproblems.html'>eyes</a>, <a href='https://medlineplus.gov/diabetickidneyproblems.html'>kidneys</a>, and <a href='https://medlineplus.gov/diabeticnerveproblems.html'>nerves</a>. Diabetes can also cause <a href='https://medlineplus.gov/diabeticheartdisease.html'>heart disease</a>, stroke and even the need to remove a limb. Pregnant women can also get diabetes, called <a href='https://medlineplus.gov/diabetesandpregnancy.html'>gestational diabetes</a>.</p> <p>Blood tests can show if you have diabetes. One type of test, the <a href='https://medlineplus.gov/a1c.html'>A1C</a>, can also check on how you are managing your diabetes. Exercise, weight control and sticking to your <a href='https://medlineplus.gov/diabeticdiet.html'>meal plan</a> can help control your diabetes. You should also monitor your blood glucose level and take <a href='https://medlineplus.gov/diabetesmedicines.html'>medicine</a> if prescribed. </p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>",N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A7570023,AT224195318,NULL,NCI_NICHD,"A metabolic condition, characterized by hyperglycemia, caused by insufficient secretion of insulin by the pancreas and/or decreased insulin action in target tissues.",N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A0477662,AT32353659,NULL,CSP,heterogeneous group of disorders that share glucose intolerance in common.,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011849,A0047877,AT43116029,NULL,MSH,A heterogeneous group of disorders characterized by HYPERGLYCEMIA and GLUCOSE INTOLERANCE.,N,NULL,Diabetes Mellitus,,,,,,,,,,,,,,,,
C0011860,A15569871,AT198090416,NULL,NCI,A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,N,NULL,"Diabetes Mellitus, Non-Insulin-Dependent",,,,,,,,,,,,,,,,
C0011860,A24666814,AT206289120,NULL,HPO,A type of diabetes mellitus initially characterized by insulin resistance and hyperinsulinemia and subsequently by glucose interolerance and hyperglycemia. [HPO:probinson],N,NULL,"Diabetes Mellitus, Non-Insulin-Dependent",,,,,,,,,,,,,,,,
C0011860,A15569871,AT224189239,NULL,NCI_NICHD,Diabetes mellitus caused by decreased insulin action in target tissues and insufficient production of insulin by pancreatic beta cells.,N,NULL,"Diabetes Mellitus, Non-Insulin-Dependent",,,,,,,,,,,,,,,,
C0011860,A21142977,AT230154061,NULL,MEDLINEPLUS,"<p><a href='https://medlineplus.gov/diabetes.html'>Diabetes</a> means your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. With type 2 diabetes, the more common type, your body does not make or use insulin well. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to <a href='https://medlineplus.gov/diabetescomplications.html'>serious problems</a> with your <a href='https://medlineplus.gov/diabeticheartdisease.html'>heart</a>, <a href='https://medlineplus.gov/diabeticeyeproblems.html'>eyes</a>, <a href='https://medlineplus.gov/diabetickidneyproblems.html'>kidneys</a>, <a href='https://medlineplus.gov/diabeticnerveproblems.html'>nerves</a>, and gums and teeth.</p> <p>You have a higher risk of type 2 diabetes if you are older, obese, have a family history of diabetes, or do not exercise. Having <a href='https://medlineplus.gov/prediabetes.html'>prediabetes</a> also increases your risk. Prediabetes means that your blood sugar is higher than normal but not high enough to be called diabetes. If you are at risk for type 2 diabetes, you may be able to delay or prevent developing it by making some <a href='https://medlineplus.gov/howtopreventdiabetes.html'>lifestyle changes</a>.</p> <p>The symptoms of type 2 diabetes appear slowly. Some people do not notice symptoms at all. The symptoms can include</p> <ul> <li>Being very thirsty</li> <li>Urinating often</li> <li>Feeling very hungry or tired</li> <li>Losing weight without trying</li> <li>Having sores that heal slowly</li> <li>Having blurry eyesight</li> </ul> <p>Blood tests can show if you have diabetes. One type of test, the <a href='https://medlineplus.gov/a1c.html'>A1C</a>, can also check on how you are managing your diabetes. Many people can manage their diabetes through <a href='https://medlineplus.gov/diabeticdiet.html'>healthy eating</a>, physical activity, and blood glucose testing. Some people also need to take <a href='https://medlineplus.gov/diabetesmedicines.html'>diabetes medicines</a>.</p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>",N,NULL,"Diabetes Mellitus, Non-Insulin-Dependent",,,,,,,,,,,,,,,,
C0011860,A6954646,AT38154783,NULL,MSH,A subclass of DIABETES MELLITUS that is not INSULIN-responsive or dependent (NIDDM). It is characterized initially by INSULIN RESISTANCE and HYPERINSULINEMIA; and eventually by GLUCOSE INTOLERANCE; HYPERGLYCEMIA; and overt diabetes. Type II diabetes mellitus is no longer considered a disease exclusively found in adults. Patients seldom develop KETOSIS but often exhibit OBESITY.,N,NULL,"Diabetes Mellitus, Non-Insulin-Dependent",,,,,,,,,,,,,,,,
C0011860,A0484862,AT51220383,NULL,CSP,"subclass of diabetes mellitus that is not insulin responsive or dependent; characterized initially by insulin resistance and hyperinsulinemia and eventually by glucose intolerance, hyperglycemia, and overt diabetes; type II diabetes mellitus is no longer considered a disease exclusively found in adults; patients seldom develop ketosis but often exhibit obesity.",N,NULL,"Diabetes Mellitus, Non-Insulin-Dependent",,,,,,,,,,,,,,,,
C0013537,A24667977,AT206285348,NULL,HPO,"An acute and life-threatening complication of pregnancy, which is characterized by the appearance of tonic-clonic seizures, usually in a patient who had developed pre-eclampsia. Eclampsia includes seizures and coma that happen during pregnancy but are not due to preexisting or organic brain disorders. [HPO:sdoelken]",N,NULL,Eclampsia,,,,,,,,,,,,,,,,
C0013537,A17684248,AT210364262,NULL,NCI_NICHD,A potentially life-threatening pregnancy-related disorder characterized by tonic-clonic seizures in association with hypertension after the twentieth week of gestation and up to six weeks postpartum and in the absence of other potential causes of seizures.,N,NULL,Eclampsia,,,,,,,,,,,,,,,,
C0013537,A17684248,AT230079042,NULL,NCI,A potentially life-threatening pregnancy-related disorder characterized by tonic-clonic seizures in association with hypertension after the twentieth week of gestation and up to six weeks postpartum and in the absence of other potential causes of seizures.,N,NULL,Eclampsia,,,,,,,,,,,,,,,,
C0013537,A0052543,AT43117380,NULL,MSH,Onset of HYPERREFLEXIA; SEIZURES; or COMA in a previously diagnosed pre-eclamptic patient (PRE-ECLAMPSIA).,N,NULL,Eclampsia,,,,,,,,,,,,,,,,
C0013537,A0478270,AT51223907,NULL,CSP,"convulsions and coma occurring in pregnant or puerperal women, associated with hypertension, edema, and proteinuria.",N,NULL,Eclampsia,,,,,,,,,,,,,,,,
C0018801,A10782107,AT198055879,NULL,NCI_FDA,Inability of the heart to pump blood at an adequate rate to fill tissue metabolic requirements or the ability to do so only at an elevated filling pressure.,N,NULL,Heart Failure,,,,,,,,,,,,,,,,
C0018801,A10782107,AT198092547,NULL,NCI,"Inability of the heart to pump blood at an adequate rate to meet tissue metabolic requirements. Clinical symptoms of heart failure include: unusual dyspnea on light exertion, recurrent dyspnea occurring in the supine position, fluid retention or rales, jugular venous distension, pulmonary edema on physical exam, or pulmonary edema on chest x-ray presumed to be cardiac dysfunction.",N,NULL,Heart Failure,,,,,,,,,,,,,,,,
C0018801,A10782107,AT198129766,NULL,NCI_CTCAE,"A disorder characterized by the inability of the heart to pump blood at an adequate volume to meet tissue metabolic requirements, or, the ability to do so only at an elevation in the filling pressure.",N,NULL,Heart Failure,,,,,,,,,,,,,,,,
C0018801,A10782107,AT210371886,NULL,NCI_NICHD,Inability of the heart to meet tissue metabolic requirements.,N,NULL,Heart Failure,,,,,,,,,,,,,,,,
C0018801,A21143452,AT220106706,NULL,MEDLINEPLUS,"<p>Heart failure is a condition in which the heart can't pump enough blood to meet the body's needs. Heart failure does not mean that your heart has stopped or is about to stop working. It means that your heart is not able to pump blood the way it should. It can affect one or both sides of the heart.</p> <p>The weakening of the heart's pumping ability causes</p> <ul> <li>Blood and fluid to back up into the lungs</li> <li>The buildup of fluid in the feet, ankles and legs - called <a href='https://medlineplus.gov/edema.html'>edema</a></li> <li>Tiredness and shortness of breath</li> </ul> <p>Common causes of heart failure are <a href='https://medlineplus.gov/coronaryarterydisease.html'>coronary artery disease</a>, <a href='https://medlineplus.gov/highbloodpressure.html'>high blood pressure</a> and <a href='https://medlineplus.gov/diabetes.html'>diabetes</a>. It is more common in people who are 65 years old or older, African Americans, people who are overweight, and people who have had a heart attack. Men have a higher rate of heart failure than women.</p> <p>Your doctor will diagnose heart failure by doing a physical exam and heart tests. Treatment includes treating the underlying cause of your heart failure, medicines, and <a href='https://medlineplus.gov/hearttransplantation.html'>heart transplantation</a> if other treatments fail.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,NULL,Heart Failure,,,,,,,,,,,,,,,,
C0018801,A0480547,AT51219424,NULL,CSP,inability of the heart to pump blood at an adequate rate to fill tissue metabolic requirements or the ability to do so only at an elevated filling pressure.,N,NULL,Heart Failure,,,,,,,,,,,,,,,,
C0018801,A12985263,AT73541968,NULL,MSH,"A heterogeneous condition in which the heart is unable to pump out sufficient blood to meet the metabolic need of the body. Heart failure can be caused by structural defects, functional abnormalities (VENTRICULAR DYSFUNCTION), or a sudden overload beyond its capacity. Chronic heart failure is more common than acute heart failure which results from sudden insult to cardiac function, such as MYOCARDIAL INFARCTION.",N,NULL,Heart Failure,,,,,,,,,,,,,,,,
C0020538,A7571194,AT198029694,NULL,NCI,Blood pressure that is abnormally high.,N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A7571194,AT198078754,NULL,NCI_CTCAE,A disorder characterized by a pathological increase in blood pressure; a repeatedly elevation in the blood pressure exceeding 140 over 90 mm Hg.,N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A7571194,AT198090904,NULL,NCI_NCI-GLOSS,"A blood pressure of 140/90 or higher. High blood pressure usually has no symptoms. It can harm the arteries and cause an increase in the risk of stroke, heart attack, kidney failure, and blindness.",N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A24672873,AT206290926,NULL,HPO,The presence of chronic increased pressure in the systemic arterial system. [HPO:probinson],N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A7571194,AT210371803,NULL,NCI_NICHD,Abnormally high blood pressure.,N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A21145030,AT230153143,NULL,MEDLINEPLUS,"<p>Blood pressure is the force of your blood pushing against the walls of your arteries. Each time your heart beats, it pumps blood into the arteries. Your blood pressure is highest when your heart beats, pumping the blood. This is called systolic pressure. When your heart is at rest, between beats, your blood pressure falls. This is called diastolic pressure. </p> <p>Your blood pressure reading uses these two numbers. Usually the systolic number comes before or above the diastolic number. A reading of</p> <ul> <li>119/79 or lower is normal blood pressure</li> <li>140/90 or higher is high blood pressure</li> <li>Between 120 and 139 for the top number, or between 80 and 89 for the bottom number is called prehypertension. Prehypertension means you may end up with high blood pressure, unless you take steps to prevent it.</li> </ul> <p>High blood pressure usually has no symptoms, but it can cause serious problems such as <a href='https://medlineplus.gov/stroke.html'>stroke</a>, <a href='https://medlineplus.gov/heartfailure.html'>heart failure</a>, <a href='https://medlineplus.gov/heartattack.html'>heart attack</a> and <a href='https://medlineplus.gov/kidneyfailure.html'>kidney failure</a>.</p> <p>You can control high blood pressure through <a href='https://medlineplus.gov/howtopreventhighbloodpressure.html'>healthy lifestyle habits</a> such as exercise and the <a href='https://medlineplus.gov/dashdiet.html'>DASH diet</a> and taking <a href='https://medlineplus.gov/bloodpressuremedicines.html'>medicines</a>, if needed. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A0481367,AT32351952,NULL,CSP,persistantly high arterial blood pressure.,N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0020538,A0070978,AT43117802,NULL,MSH,"Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more.",N,NULL,Hypertensive disease,,,,,,,,,,,,,,,,
C0021400,A10761239,AT210371900,NULL,NCI_NICHD,"An acute viral infection of the respiratory tract, occurring in isolated cases, in epidemics, or in pandemics; it is caused by serologically different strains of viruses (influenzaviruses) designated A, B, and C, has a 3-day incubation period, and usually lasts for 3 to 10 days. It is marked by inflammation of the nasal mucosa, pharynx, and conjunctiva; headache; myalgia; often fever, chills, and prostration; and occasionally involvement of the myocardium or central nervous system.",N,NULL,Influenza,,,,,,,,,,,,,,,,
C0021400,A21143003,AT220105215,NULL,MEDLINEPLUS,"<p>Flu is a respiratory infection caused by a number of viruses. The viruses pass through the air and enter your body through your nose or mouth. Between 5% and 20% of people in the U.S. get the flu each year. The flu can be serious or even deadly for elderly people, newborn babies, and people with certain chronic illnesses.</p> <p>Symptoms of the flu come on suddenly and are worse than those of the common cold. They may include </p> <ul> <li>Body or muscle aches</li> <li>Chills </li> <li>Cough </li> <li>Fever </li> <li>Headache </li> <li>Sore throat </li> </ul> <p>Is it a <a href='https://medlineplus.gov/commoncold.html'>cold</a> or the flu? Colds rarely cause a fever or headaches. Flu almost never causes an upset stomach. And stomach flu"" isn't really flu at all",but <a href='https://medlineplus.gov/gastroenteritis.html'>gastroenteritis</a>.</p> <p>Most people with the flu recover on their own without medical care. People with mild cases of the flu should stay home and avoid contact with others,except to get medical care. If you get the flu,Influenza,including hand washing,"can also help.</p> <p >NIH: National Institute of Allergy and Infectious Diseases</p>""",N,NULL,,,,,,,,,,,,
C0021400,A10761239,AT230073999,NULL,NCI,"An acute viral infection of the respiratory tract, occurring in isolated cases, in epidemics, or in pandemics; it is caused by serologically different strains of viruses (influenzaviruses) designated A, B, and C, has a 3-day incubation period, and usually lasts for 3 to 10 days. It is marked by inflammation of the nasal mucosa, pharynx, and conjunctiva; headache; myalgia; often fever, chills, and prostration; and occasionally involvement of the myocardium or central nervous system.",N,NULL,Influenza,,,,,,,,,,,,,,,,
C0021400,A0481781,AT51224296,NULL,CSP,"acute viral infection involving the respiratory tract; marked by inflammation of the nasal mucosa, the pharynx, and conjunctiva, and by headache and severe, often generalized, myalgia.",N,NULL,Influenza,,,,,,,,,,,,,,,,
C0021400,A8599384,AT56871674,NULL,MSH,"An acute viral infection in humans involving the respiratory tract. It is marked by inflammation of the NASAL MUCOSA; the PHARYNX; and conjunctiva, and by headache and severe, often generalized, myalgia.",N,NULL,Influenza,,,,,,,,,,,,,,,,
C0024117,A10760421,AT198017269,NULL,NCI_NCI-GLOSS,"A type of lung disease marked by permanent damage to tissues in the lungs, making it hard to breathe. Chronic obstructive pulmonary disease includes chronic bronchitis, in which the bronchi (large air passages) are inflamed and scarred, and emphysema, in which the alveoli (tiny air sacs) are damaged. It develops over many years and is usually caused by cigarette smoking.",N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
C0024117,A10760421,AT198115703,NULL,NCI,"A chronic and progressive lung disorder characterized by the loss of elasticity of the bronchial tree and the air sacs, destruction of the air sacs wall, thickening of the bronchial wall, and mucous accumulation in the bronchial tree. The pathologic changes result in the disruption of the air flow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough, and chest tightness. The two main types of chronic obstructive pulmonary disease are chronic obstructive bronchitis and emphysema.",N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
C0024117,A24183307,AT220105859,NULL,MEDLINEPLUS,"<p>COPD (chronic obstructive pulmonary disease) makes it hard for you to breathe. The two main types are <a href='https://medlineplus.gov/chronicbronchitis.html'>chronic bronchitis</a> and <a href='https://medlineplus.gov/emphysema.html'>emphysema</a>. The main cause of COPD is long-term exposure to substances that irritate and damage the lungs. This is usually cigarette smoke. Air pollution, chemical fumes, or dust can also cause it.</p> <p>At first, COPD may cause no symptoms or only mild symptoms. As the disease gets worse, symptoms usually become more severe. They include</p> <ul> <li>A cough that produces a lot of mucus</li> <li>Shortness of breath, especially with physical activity</li> <li>Wheezing</li> <li>Chest tightness</li> </ul> <p>Doctors use lung function tests, imaging tests, and blood tests to diagnose COPD. There is no cure. Treatments may relieve symptoms. They include medicines, oxygen therapy, surgery, or a lung transplant. <a href='https://medlineplus.gov/quittingsmoking.html'>Quitting smoking</a> is the most important step you can take to treat COPD. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
C0024117,A24666862,AT225123238,NULL,HPO,"An anomaly that is characterized progressive airflow obstruction that is only partly reversible, inflammation in the airways, and systemic effects or comorbities. [PMID:25943942]",N,NULL,Chronic Obstructive Airway Disease,,,,,,,,,,,,,,,,
