CUI,AUI,ATUI,SATUI,SAB,DEF,SUPPRESS,CVF
C0020305,A24677601,AT206283323,NULL,HPO,"The abnormal accumulation of fluid in two or more fetal compartments, including ascites, pleural effusion, pericardial effusion, and skin edema. [HPO:probinson]",N,NULL
C0020305,A17686398,AT210375755,NULL,NCI_NICHD,"A condition characterized by fluid accumulation in two or more anatomic compartments in the fetus.",N,NULL
C0020305,A17686398,AT230067863,NULL,NCI,"A condition characterized by fluid accumulation in two or more anatomic compartments in the fetus.",N,NULL
C0020305,A0070280,AT53895484,NULL,MSH,"Abnormal accumulation of serous fluid in two or more fetal compartments, such as SKIN; PLEURA; PERICARDIUM; PLACENTA; PERITONEUM; AMNIOTIC FLUID. General fetal EDEMA may be of non-immunologic origin, or of immunologic origin as in the case of ERYTHROBLASTOSIS FETALIS.",N,NULL
C0021288,A0319390,AT32352630,NULL,CSP,"an infant weighing 5-1/2 pounds or less at birth.",N,NULL
C0021288,A0073345,AT38147150,NULL,MSH,"An infant having a birth weight of 2500 gm. (5.5 lb.) or less but INFANT, VERY LOW BIRTH WEIGHT is available for infants having a birth weight of 1500 grams (3.3 lb.) or less.",N,NULL
C0021294,A21144754,AT220104769,NULL,MEDLINEPLUS,"<p>Almost 1 of every 10 infants born in the United States are premature, or preemies. A <a href='https://medlineplus.gov/pretermlabor.html'>premature birth</a> is when a baby is born before 37 completed weeks of pregnancy. A full-term pregnancy is 40 weeks.</p> <p>Important growth and development happen throughout pregnancy - especially in the final months and weeks. Because they are born too early, preemies <a href='https://medlineplus.gov/birthweight.html'>weigh much less</a> than full-term babies. They may have health problems because their organs did not have enough time to develop. Problems that a baby born too early may have include</p> <ul> <li><a href='https://medlineplus.gov/breathingproblems.html'>Breathing problems</a></li> <li>Feeding difficulties</li> <li><a href='https://medlineplus.gov/cerebralpalsy.html'>Cerebral palsy</a></li> <li><a href='https://medlineplus.gov/childdevelopment.html'>Developmental delay</a></li> <li><a href='https://medlineplus.gov/visionimpairmentandblindness.html'>Vision problems</a></li> <li><a href='https://medlineplus.gov/hearingproblemsinchildren.html'>Hearing problems</a></li> </ul> <p>Preemies need special medical care in a neonatal intensive care unit, or NICU. They stay there until their organ systems can work on their own. </p> <p >Centers for Disease Control and Prevention</p>",N,NULL
C0021296,A0073355,AT38141616,NULL,MSH,"An infant having a birth weight lower than expected for its gestational age.",N,NULL
C0027127,A0089644,AT127397089,NULL,MSH,"Inherited myotonic disorders with early childhood onset MYOTONIA. Muscular hypertrophy is common and myotonia may impair ambulation and other movements. It is classified as Thomsen (autosomal dominant) or Becker (autosomal recessive) generalized myotonia mainly based on the inheritance pattern. Becker type is also clinically more severe. An autosomal dominant variant with milder symptoms and later onset is known as myotonia levior. Mutations in the voltage-dependent skeletal muscle chloride channel are associated with the disorders.",N,NULL
C0027127,A17692175,AT197986655,NULL,NCI,"A genetic congenital neuromuscular disorder affecting the skeletal muscles. It is caused by mutations in the chloride channel gene (CLCN1 gene). It is characterized by muscle stiffness, hypertrophy, pain, and cramping.",N,NULL
C0027609,A17684232,AT198011776,NULL,NCI_NICHD,"A constellation of neurobehavioral features observed in a neonate following antenatal exposure to drugs including opioids, benzodiazepines, and selective serotonin reuptake inhibitors.",N,NULL
C0027609,A17684232,AT230077441,NULL,NCI,"A constellation of neurobehavioral features observed in a neonate following antenatal exposure to drugs including opioids, benzodiazepines, and selective serotonin reuptake inhibitors.",N,NULL
C0027609,A0090737,AT38144801,NULL,MSH,"Fetal and neonatal addiction and withdrawal as a result of the mother's dependence on drugs during pregnancy. Withdrawal or abstinence symptoms develop shortly after birth. Symptoms exhibited are loud, high-pitched crying, sweating, yawning and gastrointestinal disturbances.",N,NULL
C0027613,A17680464,AT198109966,NULL,NCI,"Hepatitis developing during the neonatal period.",N,NULL
C0027613,A17680464,AT210369987,NULL,NCI_NICHD,"A broad category of conditions causing inflammation of the liver, usually presenting during the first month of life.",N,NULL
C0035220,A25774351,AT198102976,NULL,NCI_FDA,"A condition of the newborn marked by dyspnea with cyanosis, most frequently occurring in premature infants, children of diabetic mothers and infants delivered by cesarean section, and sometimes with no predisposing cause.",N,NULL
C0035220,A25774351,AT210367937,NULL,NCI_NICHD,"Progressive alveolar atelectasis from birth due to an abnormality of synthesis, function or metabolism of surfactant, characterized by respiratory failure and an abnormal chest radiograph showing diffuse reticulogranular densities and air bronchograms.",N,NULL
C0035220,A25774351,AT230067588,NULL,NCI,"A condition beginning in the first day of life that results from inadequate surfactant production, causing increased work of breathing and impaired gas exchange.",N,NULL
C0035220,A2790556,AT38148306,NULL,MSH,"A condition of the newborn marked by DYSPNEA with CYANOSIS, heralded by such prodromal signs as dilatation of the alae nasi, expiratory grunt, and retraction of the suprasternal notch or costal margins, mostly frequently occurring in premature infants, children of diabetic mothers, and infants delivered by cesarean section, and sometimes with no apparent predisposing cause.",N,NULL
C0035220,A0319933,AT51219298,NULL,CSP,"a condition of the newborn marked by dyspnea with cyanosis, heralded by such prodromal signs as dilatation of the alae nasi, expiratory grunt, and retraction of the suprasternal notch or costal margins, most frequently occurring in premature infants, children of diabetic mothers, and infants delivered by cesarean section, and sometimes with no apparent predisposing cause.",N,NULL
C0036572,A18553595,AT130671065,NULL,CHV,"the most dramatic type of seizure",N,NULL
C0036572,A18553596,AT130671066,NULL,CHV,"the most dramatic type of seizure",N,NULL
C0036572,A18590733,AT130671067,NULL,CHV,"the most dramatic type of seizure",N,NULL
C0036572,A0115074,AT13936426,NULL,AIR,"WHAT: Seizure.	Seizure: a paroxysmal transient disturbance of brain function that may be manifested as episodic impairment or loss of consciousness, abnormal motor phenomena, psychic or sensory disturbance or perturbation of the autonomic brain electrical activity.	WHY:	Seizures may occur in systemic lupus erythematosus or in necrotizing vasculitides such as polyarteritis, eosinophilic granulomatous vasculitis, aortic arch arteritis, or rheumatoid arteritis.	HOW:	A seizure probably exists when there are generalized convulsions or focal motor/sensory phenomenon. GENERALIZED CONVULSIONS may be preceded by an aura but usually have a sudden loss of consciousness with generalized muscle rigidity then generalized muscle activity. They may have incontinence of urine or feces or laceration of the tongue or buccal mucosa. This usually is followed by flaccidity, drowsiness, or complaints of a headache or sore muscles. FOCAL MOTOR/SENSORY PHENOMENON may precede generalized convulsions but may be tonic or clonic muscle activity that is limited to one extremity, one side of the body, or one side of the face or lateralized/localized sensory sensations. These may only be brief sudden involuntary muscle contractions associated with transitory loss of muscle tone and a brief loss of contact with the environment, repetitive automatic behavior patterns, feelings of familiarity or unfamiliarity associated with compulsive thinking, unpleasant epi- gastric sensations that may radiate to the head, or hallucinations of an auditory, vertiginous, olfactory, gustatory, or visual type.	REFS:	1) Steinberg, AD: ""Management of Systemic Lupus Erythematosus"". In Textbook of Rheumatology (Ch. 70). Philadelphia: W.B. Saunders Co., 1981. 2) Hunder, GG and Conn, DL: ""Necrotizing Vasculitis"". In Textbook of Rheumatology (Ch. 72). Philadelphia: W.B. Saunders Co., 1981. 3) Harris, ED Jr: ""Pathogenesis of Rheumatoid Arthritis"". In Textbook of Rheumatology (Ch. 59). Philadelphia: W.B. Saunders Co., 1981. 4) Bennet, RM and Spargo, BH: Neuropsychiatric problems in mixed connective tissue disease. Am J Med 65(6), December 1978, pp. 955-62. DN19307-1. 5) Duman, S and Ginsburg, S: ""Epilepsy (Seizures)"". In Problem- Oriented Medical Diagnosis (Ch. 10). Boston: Little, Brown and Co., 1975.",N,NULL
C0036572,A7568094,AT197967295,NULL,NCI_NCI-GLOSS,"Convulsion; a sudden, involuntary movement of the muscles.",N,NULL
C0036572,A7568094,AT198029585,NULL,NCI,"Sudden, involuntary skeletal muscular contractions of cerebral or brain stem origin.",N,NULL
C0036572,A7568094,AT198115592,NULL,NCI_CTCAE,"A disorder characterized by a sudden, involuntary skeletal muscular contractions of cerebral or brain stem origin.",N,NULL
C0036572,A24672958,AT206291017,NULL,HPO,"Seizures are an intermittent abnormality of the central nervous system due to a sudden, excessive, disorderly discharge of cerebral neurons and characterized clinically by some combination of disturbance of sensation, loss of consciousness, impairment of psychic function, or convulsive movements. The term epilepsy is used to describe chronic, recurrent seizures. [HPO:probinson]",N,NULL
C0036572,A7568094,AT210373723,NULL,NCI_NICHD,"A paroxysmal surge of electrical activity in the brain that may result in physical or behavioral changes.",N,NULL
C0036572,A21144350,AT220102672,NULL,MEDLINEPLUS,"<p>Seizures are symptoms of a brain problem. They happen because of sudden, abnormal electrical activity in the brain. When people think of seizures, they often think of convulsions in which a person's body shakes rapidly and uncontrollably. Not all seizures cause convulsions. There are many types of seizures and some have mild symptoms. Seizures fall into two main groups. Focal seizures, also called partial seizures, happen in just one part of the brain. Generalized seizures are a result of abnormal activity on both sides of the brain. </p> <p>Most seizures last from 30 seconds to 2 minutes and do not cause lasting harm. However, it is a medical emergency if seizures last longer than 5 minutes or if a person has many seizures and does not wake up between them. Seizures can have many causes, including medicines, high fevers, head injuries and certain diseases. People who have recurring seizures due to a brain disorder have <a href='https://medlineplus.gov/epilepsy.html'>epilepsy</a>. </p> <p >NIH: National Institute of Neurological Disorders and Stroke</p>",N,NULL
C0036572,A0115076,AT38135400,NULL,MSH,"Clinical or subclinical disturbances of cortical function due to a sudden, abnormal, excessive, and disorganized discharge of brain cells. Clinical manifestations include abnormal motor, sensory and psychic phenomena. Recurrent seizures are usually referred to as EPILEPSY or ""seizure disorder.""",N,NULL
C0036572,A0476690,AT51220315,NULL,CSP,"the most dramatic type of seizure, characterized by tonic and clonic contraction of most skeletal muscles.",N,NULL
C0038644,A17683564,AT197961713,NULL,NCI,"Unexpected death in infancy which remains unexplained following autopsy, review of the medical history, and investigation of the death circumstances and death scene.",N,NULL
C0038644,A17683564,AT197986684,NULL,NCI_NCI-GLOSS,"The sudden and unexpected death of a healthy child who is younger than one year old, usually during sleep. The cause of SIDS is not known.",N,NULL
C0038644,A17683564,AT210377662,NULL,NCI_NICHD,"The unexpected death of an infant less than 1 year of age that cannot be explained after a thorough investigation is conducted, including a complete autopsy, examination of the death scene, and review of the clinical history.",N,NULL
C0038644,A21145572,AT230154248,NULL,MEDLINEPLUS,"<p>Sudden infant death syndrome (SIDS) is the sudden, unexplained death of an infant younger than one year old. Some people call SIDS ""crib death"" because many babies who die of SIDS are found in their cribs. </p> <p>SIDS is the leading cause of death in children between one month and one year old. Most SIDS deaths occur when babies are between one month and four months old. Premature babies, boys, African Americans, and American Indian/Alaska Native infants have a higher risk of SIDS.</p> <p>Although health care professionals don't know what causes SIDS, they do know ways to reduce the risk. These include</p> <ul> <li>Placing your baby on his or her back to sleep, even for short naps. ""Tummy time"" is for when babies are awake and someone is watching</li> <li>Having your baby sleep in your room for at least the first six months. Your baby should sleep close to you, but on a separate surface designed for infants, such as a crib or bassinet.</li> <li>Using a firm sleep surface, such as a crib mattress covered with a fitted sheet </li> <li>Keeping soft objects and loose bedding away from your baby's sleep area</li> <li><a href='https://medlineplus.gov/breastfeeding.html'>Breastfeeding</a> your baby</li> <li>Making sure that your baby doesn't get too hot. Keep the room at a comfortable temperature for an adult.</li> <li>Not smoking during pregnancy or allowing anyone to smoke near your baby</li> </ul> <p >NIH: National Institute of Child Health and Human Development</p>",N,NULL
C0038644,A0120760,AT38151214,NULL,MSH,"The abrupt and unexplained death of an apparently healthy infant under one year of age, remaining unexplained after a thorough case investigation, including performance of a complete autopsy, examination of the death scene, and review of the clinical history. (Pediatr Pathol 1991 Sep-Oct;11(5):677-84)",N,NULL
C0038644,A0489810,AT51221061,NULL,CSP,"sudden and unexpected death of an apparently healthy infant, typically occurring between 3 weeks and 5 months of age, most infants dying at night, and not explained by postmortem data.",N,NULL
C0040427,A24389485,AT205726454,NULL,NCI,"Any abnormality in the growth or formation of one or more teeth.",N,NULL
C0040427,A24673763,AT206291739,NULL,HPO,"An abnormality of the morphology of the tooth. [HPO:ibailleulforestier]",N,NULL
C0040427,A24389485,AT210371680,NULL,NCI_NICHD,"Any abnormality in the growth or formation of one or more teeth.",N,NULL
C0040427,A0126844,AT38147498,NULL,MSH,"Congenital absence of or defects in structures of the teeth.",N,NULL
C0158986,A20250054,AT198001029,NULL,NCI_NICHD,"Blood glucose concentration below the lower limit of established reference ranges in a newborn.",N,NULL
C0158986,A20250054,AT230071065,NULL,NCI,"Blood glucose concentration below the lower limit of established reference ranges in a newborn.",N,NULL
C0159020,A24386531,AT205724634,NULL,NCI,"Abnormal hypersynchronous electrical activity in the brain of a newborn which may be associated with stereotyped movements or autonomic changes.",N,NULL
C0159020,A24386531,AT210373600,NULL,NCI_NICHD,"Abnormal hypersynchronous electrical activity in the brain of a newborn infant which may be associated with stereotyped movements or autonomic changes.",N,NULL
C0221028,A23908674,AT210368103,NULL,NCI_NICHD,"A condition characterized by a decrease in the number of platelets in the blood below established reference ranges in a newborn.",N,NULL
C0221028,A23908674,AT230071063,NULL,NCI,"A condition characterized by a decrease in the number of platelets in the blood below established reference ranges in a newborn.",N,NULL
C0235813,A7610206,AT210377053,NULL,NCI,"Leukemia that occurs during the neonatal period.",N,NULL
C0235820,A24374017,AT205724950,NULL,NCI,"Abnormal functioning of the central nervous system in the newborn period that may be due to a variety of etiologies including hypoxia/ischemia, metabolic disturbance, or infection.",N,NULL
C0235820,A24374017,AT210375527,NULL,NCI_NICHD,"Abnormal functioning of the central nervous system in the newborn period that may be due to a variety of etiologies including hypoxia/ischemia, metabolic disturbance, or infection.",N,NULL
C0235991,A24370198,AT205733333,NULL,NCI,"A newborn infant who has weight and/or length at birth more than two standard deviations below the mean for the reference population of the same sex and gestational age.",N,NULL
C0235991,A24682078,AT206298845,NULL,HPO,"Smaller than normal size according to sex and gestational age related norms, defined as a weight below the 10th percentile for the gestational age. [DDD:hfirth]",N,NULL
C0235991,A24370198,AT224182491,NULL,NCI_NICHD,"Weight and/or length at birth more than two standard deviations below the mean for the reference population of the same sex and gestational age.",N,NULL
C0236792,A18598155,AT130673382,NULL,CHV,"a childhood disorder predominately affecting boys and similar to autism",N,NULL
C0236792,A18616766,AT130673383,NULL,CHV,"a childhood disorder predominately affecting boys and similar to autism",N,NULL
C0236792,A18672480,AT130673384,NULL,CHV,"a childhood disorder predominately affecting boys and similar to autism",N,NULL
C0236792,A18690973,AT130673385,NULL,CHV,"a childhood disorder predominately affecting boys and similar to autism",N,NULL
C0236792,A20258054,AT198099222,NULL,NCI,"A disorder most often diagnosed in the pediatric years in which the individual displays marked impairment in social interaction and a repetitive, stereotyped pattern of behavior. The individual, however, displays no delay in language or cognitive development, which differentiates Asperger Syndrome from autism.",N,NULL
C0236792,A1635070,AT208154334,NULL,MSH,"A disorder beginning in childhood whose essential features are persistent impairment in reciprocal social communication and social interaction, and restricted, repetitive patterns of behavior, interests, or activities. These symptoms may limit or impair everyday functioning. (From DSM-5)",N,NULL
C0236792,A0648603,AT51218831,NULL,CSP,"neuropsychiatric disorder whose major manifestation is an inability to interact socially; other features include poor verbal and motor skills, singlemindedness, and social withdrawal.",N,NULL
C0266362,A20259138,AT198074872,NULL,NCI,"A rare congenital abnormality in which the infant's external genitalia do not have the typical appearance of a male's or female's genitalia.",N,NULL
C0266362,A24672679,AT206290732,NULL,HPO,"A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4. [HPO:probinson, pmid:15102623]",N,NULL
C0266362,A20259138,AT224183160,NULL,NCI_NICHD,"External genitalia that are neither typically male nor typically female in appearance.",N,NULL
C0266470,A20253020,AT198000995,NULL,NCI,"Hypoplasia of the cerebellum that is associated with inherited metabolic disorders and neurodegenerative disorders. Signs and symptoms include mental and developmental delays, walking and balance difficulties, floppy muscle tone, and seizures.",N,NULL
C0266470,A24668414,AT206293643,NULL,HPO,"Underdevelopment of the cerebellum. [HPO:probinson]",N,NULL
C0270276,A23898962,AT210373507,NULL,NCI_NICHD,"A disorder observed in a newborn who was exposed to chloramphenicol. Manifestations include hypotension, cyanosis, cardiovascular collapse and/or death.",N,NULL
C0270276,A23898962,AT230075950,NULL,NCI,"A disorder observed in a newborn who was exposed to chloramphenicol. Manifestations include hypotension, cyanosis, cardiovascular collapse and/or death.",N,NULL
C0282667,A0560261,AT38140457,NULL,MSH,"An infant whose weight at birth is less than 1500 grams (3.3 lbs), regardless of gestational age.",N,NULL
C0343239,A20259145,AT198074877,NULL,NCI,"Mild hypotonia that usually appears early in infancy and has a favorable outcome. It is not a manifestation of another disorder that may cause hypotonia (e.g., cerebral palsy or muscular dystrophy).",N,NULL
C0343239,A20259145,AT210373873,NULL,NCI_NICHD,"A mild decrease in muscle tone, which is not a manifestation of another disorder that may cause hypotonia, that usually appears early in infancy and has a favorable outcome.",N,NULL
C0424605,A24370074,AT205726113,NULL,NCI,"Failure to meet, or late achievement of developmental milestones.",N,NULL
C0424605,A24370074,AT210373564,NULL,NCI_NICHD,"Failure to meet, or late achievement of developmental milestones.",N,NULL
C0456103,A24367281,AT205720575,NULL,NCI,"An infectious disorder of newborn infants that is characterized by a systemic inflammatory response most commonly caused by bacteria.",N,NULL
C0456103,A24367281,AT210363992,NULL,NCI_NICHD,"An infectious disorder of newborn infants that is characterized by a systemic inflammatory response most commonly caused by bacteria.",N,NULL
C0456103,A27187073,AT218105125,NULL,MSH,"Blood infection that occurs in an infant younger than 90 days old. Early-onset sepsis is seen in the first week of life and most often appears within 24 hours of birth. Late-onset occurs after 1 week and before 3 months of age.",N,NULL
C0521647,A7610203,AT220003554,NULL,NCI,"Apnea occurring during the neonatal period.",N,NULL
C0857007,A20246989,AT197963530,NULL,NCI,"Increased levels of bilirubin in the blood during the neonatal period. In the majority of cases it is seen in the first week of life and usually there is no underlying disease, however, it may also occur in hemolytic diseases, infections, metabolic disorders, and liver abnormalities.",N,NULL
C0857007,A24677905,AT206299207,NULL,HPO,"A type of hyperbilirubinemia with neonatal onset. [HPO:probinson]",N,NULL
C0857007,A20246989,AT210364290,NULL,NCI_NICHD,"Increased levels of bilirubin in the blood during the first 28 days of life, which may be due to a pathologic or non-pathologic cause.",N,NULL
C0857007,A8395268,AT53895746,NULL,MSH,"Accumulation of BILIRUBIN, a breakdown product of HEME PROTEINS, in the BLOOD during the first weeks of life. This may lead to NEONATAL JAUNDICE. The excess bilirubin may exist in the unconjugated (indirect) or the conjugated (direct) form. The condition may be self-limiting (PHYSIOLOGICAL NEONATAL JAUNDICE) or pathological with toxic levels of bilirubin.",N,NULL
C1848395,A17690009,AT197974340,NULL,NCI,"A fetus or infant who is larger than expected for the age or gender, or who has a birth weight greater than the 90th percentile.",N,NULL
C1848395,A24673020,AT206288463,NULL,HPO,"The term large for gestational age applies to babies whose birth weight lies above the 90th percentile for that gestational age. [eMedicine:262679, HPO:probinson]",N,NULL
C1848395,A17690009,AT210366172,NULL,NCI_NICHD,"An estimated fetal or neonatal weight exceeding 90% of expected weight for gestational age.",N,NULL
C2936781,A0484417,AT51220585,NULL,CSP,"congenital genetic disease characterized by tonic spasm and rigidity of certain muscles when a voluntary movement is attempted; also known as Thomsen's disease.",N,NULL
C0020255,A0070075,AT127396906,NULL,MSH,"Excessive accumulation of cerebrospinal fluid within the cranium which may be associated with dilation of cerebral ventricles, INTRACRANIAL HYPERTENSION; HEADACHE; lethargy; URINARY INCONTINENCE; and ATAXIA.",N,NULL
C0020255,A18573340,AT130671110,NULL,CHV,"excessive gathering of cerebrospinal fluid within the head bone",N,NULL
C0020255,A18591990,AT130671111,NULL,CHV,"excessive gathering of cerebrospinal fluid within the head bone",N,NULL
C0020255,A18591991,AT130671112,NULL,CHV,"excessive gathering of cerebrospinal fluid within the head bone",N,NULL
C0020255,A18684807,AT130671113,NULL,CHV,"excessive gathering of cerebrospinal fluid within the head bone",N,NULL
C0020255,A7571160,AT197992453,NULL,NCI_CTCAE,"A disorder characterized by an abnormal increase of cerebrospinal fluid in the ventricles of the brain.",N,NULL
C0020255,A7571160,AT198017254,NULL,NCI_NCI-GLOSS,"The abnormal buildup of cerebrospinal fluid in the ventricles of the brain.",N,NULL
C0020255,A7571160,AT198103355,NULL,NCI,"A disorder characterized by an abnormal increase of cerebrospinal fluid in the ventricles of the brain.",N,NULL
C0020255,A21143066,AT203073181,NULL,MEDLINEPLUS,"<p>Hydrocephalus is the buildup of too much cerebrospinal fluid in the brain. Normally, this fluid cushions your brain. When you have too much, though, it puts harmful pressure on your brain.</p> <p>Hydrocephalus can be congenital, or present at birth. Causes include genetic problems and problems with how the fetus develops. An unusually large head is the main sign of congenital hydrocephalus.</p> <p>Hydrocephalus can also happen after birth. This is called acquired hydrocephalus. It can occur at any age. Causes can include head injuries, strokes, infections, tumors, and bleeding in the brain. Symptoms include</p> <ul> <li>Headache</li> <li>Vomiting and nausea</li> <li>Blurry vision</li> <li>Balance problems</li> <li>Bladder control problems</li> <li>Thinking and memory problems</li> </ul> <p>Hydrocephalus can permanently damage the brain, causing problems with physical and mental development. If untreated, it is usually fatal. With treatment, many people lead normal lives with few limitations. Treatment usually involves surgery to insert a shunt. A shunt is a flexible but sturdy plastic tube. The shunt moves the cerebrospinal fluid to another area of the body where it can be absorbed. Medicine and rehabilitation therapy can also help.</p> <p >NIH: National Institute of Neurological Disorders and Stroke</p>",N,NULL
C0020255,A24677279,AT206296037,NULL,HPO,"Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation. [HPO:probinson, pmid:18211712, pmid:19410151]",N,NULL
C0020255,A7571160,AT210368315,NULL,NCI_CDISC,"An enlargement of the ventricles relative to brain tissue.",N,NULL
C0020255,A7571160,AT210375654,NULL,NCI_NICHD,"An abnormal accumulation of cerebrospinal fluid within the ventricles of the brain.",N,NULL
C0020255,A0481212,AT51220992,NULL,CSP,"excessive accumulation of cerebrospinal fluid within the cranium which may be a congenital or acquired disorder; hydrocephalus ex-vacuo refers to ventricular dilation that occurs as a result of brain substance loss from cerebral infarction and other conditions.",N,NULL
C0030354,A7572803,AT198046904,NULL,NCI_CDISC,"A benign epithelial neoplasm that projects above the surrounding epithelial surface.",N,NULL
C0030354,A7572803,AT198095946,NULL,NCI,"A benign epithelial neoplasm that projects above the surrounding epithelial surface and consists of villous or arborescent outgrowths of fibrovascular stroma.",N,NULL
C0030354,A24674635,AT206290377,NULL,HPO,"A tumor of the skin or mucous membrane with finger-like projections. [HPO:probinson]",N,NULL
C0030354,A0097335,AT38134023,NULL,MSH,"A circumscribed benign epithelial tumor projecting from the surrounding surface; more precisely, a benign epithelial neoplasm consisting of villous or arborescent outgrowths of fibrovascular stroma covered by neoplastic cells. (Stedman, 25th ed)",N,NULL
C0410916,A16762611,AT197973294,NULL,NCI_CTCAE,"A disorder characterized by cessation of life occurring during the first 28 days of life.",N,NULL
C0410916,A26624560,AT199395400,NULL,MSH,"The death of a live-born INFANT less than 28 days of age.",N,NULL
C0410916,A24680252,AT206301803,NULL,HPO,"Death within the first 28 days of life. [HPO:probinson]",N,NULL
C0410916,A16762611,AT210367564,NULL,NCI,"Death of a live newborn during the first 28 days of life.",N,NULL
C0410916,A16762611,AT210369978,NULL,NCI_NICHD,"Death of a live-born infant during the first 28 days after birth.",N,NULL
C0003635,A18589974,AT130672886,NULL,CHV,"a kind of neurological disorder characterized by loss of the ability to perform voluntary and skillful movements",N,NULL
C0003635,A18589975,AT130672887,NULL,CHV,"a kind of neurological disorder characterized by loss of the ability to perform voluntary and skillful movements",N,NULL
C0003635,A18608576,AT130672888,NULL,CHV,"a kind of neurological disorder characterized by loss of the ability to perform voluntary and skillful movements",N,NULL
C0003635,A18682759,AT130672889,NULL,CHV,"a kind of neurological disorder characterized by loss of the ability to perform voluntary and skillful movements",N,NULL
C0003635,A18682760,AT130672890,NULL,CHV,"a kind of neurological disorder characterized by loss of the ability to perform voluntary and skillful movements",N,NULL
C0003635,A24668582,AT206293838,NULL,HPO,"A defect in the understanding of complex motor commands and in the execution of certain learned movements, i.e., deficits in the cognitive components of learned movements. [HPO:probinson]",N,NULL
C0003635,A1634434,AT38133412,NULL,MSH,"A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function. The two major subtypes of this condition are ideomotor (see APRAXIA, IDEOMOTOR) and ideational apraxia, which refers to loss of the ability to mentally formulate the processes involved with performing an action. For example, dressing apraxia may result from an inability to mentally formulate the act of placing clothes on the body. Apraxias are generally associated with lesions of the dominant PARIETAL LOBE and supramarginal gyrus. (From Adams et al., Principles of Neurology, 6th ed, pp56-7)",N,NULL
C0003635,A0473866,AT51224635,NULL,CSP,"loss of ability to perform familiar, purposeful movements in the absence of paralysis or other neural sensorimotor impairment.",N,NULL
