ATUI,AUI,CNAME,CUI,CVF,DEF,SAB,SATUI,SUPPRESS,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 9
AT197994635,A10760486,Coronary Artery Bypass Surgery,C0010055,,Surgery in which a healthy blood vessel taken from another part of the body is used to make a new path for blood around a blocked artery leading to the heart. This restores the flow of oxygen and nutrients to the heart.,NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198142551,A10760486,Coronary Artery Bypass Surgery,C0010055,,"Surgery performed to bypass partially or completely occluded coronary arteries, thereby increasing the blood supply of the heart.",NCI,,N,,,,,,,,,,,,,,,,
AT205727165,A10760486,Coronary Artery Bypass Surgery,C0010055,,"A procedure performed to bypass partially or completely occluded coronary arteries with veins and/or arteries harvested from elsewhere in the body, thereby improving the blood supply to the coronary circulation supplying the myocardium (heart muscle).",NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT220107242,A21143757,Coronary Artery Bypass Surgery,C0010055,,"<p>In <a href='https://medlineplus.gov/coronaryarterydisease.html'>coronary artery disease</a> (CAD), the arteries that supply blood and oxygen to your heart muscle grow hardened and narrowed. You may try treatments such as lifestyle changes, medicines, and <a href='https://medlineplus.gov/angioplasty.html'>angioplasty</a>, a procedure to open the arteries. If these treatments don't help, you may need coronary artery bypass surgery.</p> <p>The surgery creates a new path for blood to flow to the heart. The surgeon takes a healthy piece of vein from the leg or artery from the chest or wrist. Then the surgeon attaches it to the coronary artery, just above and below the narrowed area or blockage. This allows blood to bypass (get around) the blockage. Sometimes people need more than one bypass.</p> <p>The results of the surgery usually are excellent. Many people remain symptom-free for many years. You may need surgery again if blockages form in the grafted arteries or veins or in arteries that weren't blocked before. Lifestyle changes and medicines may help prevent arteries from becoming clogged again.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>",MEDLINEPLUS,,N,,,,,,,,,,,,,,,,
AT38150604,A0042903,Coronary Artery Bypass Surgery,C0010055,,"Surgical therapy of ischemic coronary artery disease achieved by grafting a section of saphenous vein, internal mammary artery, or other substitute between the aorta and the obstructed coronary artery distal to the obstructive lesion.",MSH,,N,,,,,,,,,,,,,,,,
AT51218756,A0476725,Coronary Artery Bypass Surgery,C0010055,,"surgical procedure creating a bridge between the ascending aorta and one or more of the three major coronary arteries, distal to an obstructive lesion, using autologous tissue transplanted from the saphenous vein.",CSP,,N,,,,,,,,,,,,,,,,
AT197967329,A7569991,Mental Depression,C0011570,,A melancholy feeling of sadness and despair.,NCI,,N,,,,,,,,,,,,,,,,
AT198078672,A7569991,Mental Depression,C0011570,,"A mental condition marked by ongoing feelings of sadness, despair, loss of energy, and difficulty dealing with normal daily life. Other symptoms of depression include feelings of worthlessness and hopelessness, loss of pleasure in activities, changes in eating or sleeping habits, and thoughts of death or suicide. Depression can affect anyone, and can be successfully treated. Depression affects 15-25% of cancer patients.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198128024,A7569991,Mental Depression,C0011570,,A disorder characterized by melancholic feelings of grief or unhappiness.,NCI_CTCAE,,N,,,,,,,,,,,,,,,,
AT220102297,A21142605,Mental Depression,C0011570,or not wanting to eat at all</li> <li>Not being able to sleep,"<p>Depression is a serious medical illness. It's more than just a feeling of being sad or blue"" for a few days. If you are one of the more than 19 million teens and adults in the United States who have depression",MEDLINEPLUS,,"the feelings do not go away. They persist and interfere with your everyday life. Symptoms can include</p> <ul> <li>Feeling sad or ""empty""</li> <li>Loss of interest in favorite activities</li> <li>Overeating",anxious,or guilty</li> <li>Aches or pains,headaches,cramps,or digestive problems</li> <li>Thoughts of death or <a href='https://medlineplus.gov/suicide.html'>suicide</a></li> </ul> <p>Depression is a disorder of the brain. There are a variety of causes,including genetic,biological,environmental,and psychological factors. Depression can happen at any age,but it often begins in teens and young adults. It is much more common in women. Women can also get <a href='https://medlineplus.gov/postpartumdepression.html'>postpartum depression</a> after the birth of a baby. Some people get <a href='https://medlineplus.gov/seasonalaffectivedisorder.html'>seasonal affective disorder</a> in the winter. Depression is one part of <a href='https://medlineplus.gov/bipolardisorder.html'>bipolar disorder</a>.</p> <p>There are effective treatments for depression,including <a href='https://medlineplus.gov/antidepressants.html'>antidepressants</a>,talk therapy,"or both.</p> <p >NIH: National Institute of Mental Health</p>""",N,,irritable
AT38149345,A0047119,Mental Depression,C0011570,,Depressive states usually of moderate intensity in contrast with major depression present in neurotic and psychotic disorders.,MSH,,N,,,,,,,,,,,,,,,,
AT51219566,A0477547,Mental Depression,C0011570,"and somatic symptoms such as eating and sleep disturbance.""","unpleasant, but not necessarily irrational or pathological, mood state characterized by sadness, despair, or discouragement; the blues""; may also involve low self-esteem",CSP,,social withdrawal,,,,,,,,,,,,,,,,
AT130673334,A18572274,Diabetes Mellitus,C0011849,,diabetes mellitus,CHV,,N,,,,,,,,,,,,,,,,
AT130673335,A18590933,Diabetes Mellitus,C0011849,,diabetes mellitus,CHV,,N,,,,,,,,,,,,,,,,
AT130673336,A18590934,Diabetes Mellitus,C0011849,,diabetes mellitus,CHV,,N,,,,,,,,,,,,,,,,
AT130673337,A18628065,Diabetes Mellitus,C0011849,,diabetes mellitus,CHV,,N,,,,,,,,,,,,,,,,
AT130673338,A18628066,Diabetes Mellitus,C0011849,,diabetes mellitus,CHV,,N,,,,,,,,,,,,,,,,
AT130673339,A18646728,Diabetes Mellitus,C0011849,,diabetes mellitus,CHV,,N,,,,,,,,,,,,,,,,
AT197967334,A7570023,Diabetes Mellitus,C0011849,,A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,NCI,,N,,,,,,,,,,,,,,,,
AT198004766,A7570023,Diabetes Mellitus,C0011849,,A disease in which the body does not control the amount of glucose (a type of sugar) in the blood and the kidneys make a large amount of urine. This disease occurs when the body does not make enough insulin or does not use it the way it should.,NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT206298707,A24672870,Diabetes Mellitus,C0011849,,A group of abnormalities characterized by hyperglycemia and glucose intolerance. [HPO:probinson],HPO,,N,,,,,,,,,,,,,,,,
AT220104434,A21144151,Diabetes Mellitus,C0011849,,"<p>Diabetes is a disease in which your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. Glucose comes from the foods you eat. Insulin is a hormone that helps the glucose get into your cells to give them energy. With <a href='https://medlineplus.gov/diabetestype1.html'>type 1 diabetes</a>, your body does not make insulin. With <a href='https://medlineplus.gov/diabetestype2.html'>type 2 diabetes</a>, the more common type, your body does not make or use insulin well. Without enough insulin, the glucose stays in your blood. You can also have <a href='https://medlineplus.gov/prediabetes.html'>prediabetes</a>. This means that your blood sugar is higher than normal but not high enough to be called diabetes. Having prediabetes puts you at a higher risk of getting type 2 diabetes.</p> <p>Over time, having too much glucose in your blood can cause <a href='https://medlineplus.gov/diabetescomplications.html'>serious problems</a>. It can damage your <a href='https://medlineplus.gov/diabeticeyeproblems.html'>eyes</a>, <a href='https://medlineplus.gov/diabetickidneyproblems.html'>kidneys</a>, and <a href='https://medlineplus.gov/diabeticnerveproblems.html'>nerves</a>. Diabetes can also cause <a href='https://medlineplus.gov/diabeticheartdisease.html'>heart disease</a>, stroke and even the need to remove a limb. Pregnant women can also get diabetes, called <a href='https://medlineplus.gov/diabetesandpregnancy.html'>gestational diabetes</a>.</p> <p>Blood tests can show if you have diabetes. One type of test, the <a href='https://medlineplus.gov/a1c.html'>A1C</a>, can also check on how you are managing your diabetes. Exercise, weight control and sticking to your <a href='https://medlineplus.gov/diabeticdiet.html'>meal plan</a> can help control your diabetes. You should also monitor your blood glucose level and take <a href='https://medlineplus.gov/diabetesmedicines.html'>medicine</a> if prescribed. </p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>",MEDLINEPLUS,,N,,,,,,,,,,,,,,,,
AT224195318,A7570023,Diabetes Mellitus,C0011849,,"A metabolic condition, characterized by hyperglycemia, caused by insufficient secretion of insulin by the pancreas and/or decreased insulin action in target tissues.",NCI_NICHD,,N,,,,,,,,,,,,,,,,
AT32353659,A0477662,Diabetes Mellitus,C0011849,,heterogeneous group of disorders that share glucose intolerance in common.,CSP,,N,,,,,,,,,,,,,,,,
AT43116029,A0047877,Diabetes Mellitus,C0011849,,A heterogeneous group of disorders characterized by HYPERGLYCEMIA and GLUCOSE INTOLERANCE.,MSH,,N,,,,,,,,,,,,,,,,
AT198090416,A15569871,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,NCI,,N,,,,,,,,,,,,,,,,
AT206289120,A24666814,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,A type of diabetes mellitus initially characterized by insulin resistance and hyperinsulinemia and subsequently by glucose interolerance and hyperglycemia. [HPO:probinson],HPO,,N,,,,,,,,,,,,,,,,
AT224189239,A15569871,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Diabetes mellitus caused by decreased insulin action in target tissues and insufficient production of insulin by pancreatic beta cells.,NCI_NICHD,,N,,,,,,,,,,,,,,,,
AT230154061,A21142977,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,"<p><a href='https://medlineplus.gov/diabetes.html'>Diabetes</a> means your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. With type 2 diabetes, the more common type, your body does not make or use insulin well. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to <a href='https://medlineplus.gov/diabetescomplications.html'>serious problems</a> with your <a href='https://medlineplus.gov/diabeticheartdisease.html'>heart</a>, <a href='https://medlineplus.gov/diabeticeyeproblems.html'>eyes</a>, <a href='https://medlineplus.gov/diabetickidneyproblems.html'>kidneys</a>, <a href='https://medlineplus.gov/diabeticnerveproblems.html'>nerves</a>, and gums and teeth.</p> <p>You have a higher risk of type 2 diabetes if you are older, obese, have a family history of diabetes, or do not exercise. Having <a href='https://medlineplus.gov/prediabetes.html'>prediabetes</a> also increases your risk. Prediabetes means that your blood sugar is higher than normal but not high enough to be called diabetes. If you are at risk for type 2 diabetes, you may be able to delay or prevent developing it by making some <a href='https://medlineplus.gov/howtopreventdiabetes.html'>lifestyle changes</a>.</p> <p>The symptoms of type 2 diabetes appear slowly. Some people do not notice symptoms at all. The symptoms can include</p> <ul> <li>Being very thirsty</li> <li>Urinating often</li> <li>Feeling very hungry or tired</li> <li>Losing weight without trying</li> <li>Having sores that heal slowly</li> <li>Having blurry eyesight</li> </ul> <p>Blood tests can show if you have diabetes. One type of test, the <a href='https://medlineplus.gov/a1c.html'>A1C</a>, can also check on how you are managing your diabetes. Many people can manage their diabetes through <a href='https://medlineplus.gov/diabeticdiet.html'>healthy eating</a>, physical activity, and blood glucose testing. Some people also need to take <a href='https://medlineplus.gov/diabetesmedicines.html'>diabetes medicines</a>.</p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>",MEDLINEPLUS,,N,,,,,,,,,,,,,,,,
AT38154783,A6954646,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,A subclass of DIABETES MELLITUS that is not INSULIN-responsive or dependent (NIDDM). It is characterized initially by INSULIN RESISTANCE and HYPERINSULINEMIA; and eventually by GLUCOSE INTOLERANCE; HYPERGLYCEMIA; and overt diabetes. Type II diabetes mellitus is no longer considered a disease exclusively found in adults. Patients seldom develop KETOSIS but often exhibit OBESITY.,MSH,,N,,,,,,,,,,,,,,,,
AT51220383,A0484862,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,"subclass of diabetes mellitus that is not insulin responsive or dependent; characterized initially by insulin resistance and hyperinsulinemia and eventually by glucose intolerance, hyperglycemia, and overt diabetes; type II diabetes mellitus is no longer considered a disease exclusively found in adults; patients seldom develop ketosis but often exhibit obesity.",CSP,,N,,,,,,,,,,,,,,,,
AT206285348,A24667977,Eclampsia,C0013537,,"An acute and life-threatening complication of pregnancy, which is characterized by the appearance of tonic-clonic seizures, usually in a patient who had developed pre-eclampsia. Eclampsia includes seizures and coma that happen during pregnancy but are not due to preexisting or organic brain disorders. [HPO:sdoelken]",HPO,,N,,,,,,,,,,,,,,,,
AT210364262,A17684248,Eclampsia,C0013537,,A potentially life-threatening pregnancy-related disorder characterized by tonic-clonic seizures in association with hypertension after the twentieth week of gestation and up to six weeks postpartum and in the absence of other potential causes of seizures.,NCI_NICHD,,N,,,,,,,,,,,,,,,,
AT230079042,A17684248,Eclampsia,C0013537,,A potentially life-threatening pregnancy-related disorder characterized by tonic-clonic seizures in association with hypertension after the twentieth week of gestation and up to six weeks postpartum and in the absence of other potential causes of seizures.,NCI,,N,,,,,,,,,,,,,,,,
AT43117380,A0052543,Eclampsia,C0013537,,Onset of HYPERREFLEXIA; SEIZURES; or COMA in a previously diagnosed pre-eclamptic patient (PRE-ECLAMPSIA).,MSH,,N,,,,,,,,,,,,,,,,
AT51223907,A0478270,Eclampsia,C0013537,,"convulsions and coma occurring in pregnant or puerperal women, associated with hypertension, edema, and proteinuria.",CSP,,N,,,,,,,,,,,,,,,,
AT198055879,A10782107,Heart Failure,C0018801,,Inability of the heart to pump blood at an adequate rate to fill tissue metabolic requirements or the ability to do so only at an elevated filling pressure.,NCI_FDA,,N,,,,,,,,,,,,,,,,
AT198092547,A10782107,Heart Failure,C0018801,,"Inability of the heart to pump blood at an adequate rate to meet tissue metabolic requirements. Clinical symptoms of heart failure include: unusual dyspnea on light exertion, recurrent dyspnea occurring in the supine position, fluid retention or rales, jugular venous distension, pulmonary edema on physical exam, or pulmonary edema on chest x-ray presumed to be cardiac dysfunction.",NCI,,N,,,,,,,,,,,,,,,,
AT198129766,A10782107,Heart Failure,C0018801,,"A disorder characterized by the inability of the heart to pump blood at an adequate volume to meet tissue metabolic requirements, or, the ability to do so only at an elevation in the filling pressure.",NCI_CTCAE,,N,,,,,,,,,,,,,,,,
AT210371886,A10782107,Heart Failure,C0018801,,Inability of the heart to meet tissue metabolic requirements.,NCI_NICHD,,N,,,,,,,,,,,,,,,,
AT220106706,A21143452,Heart Failure,C0018801,,"<p>Heart failure is a condition in which the heart can't pump enough blood to meet the body's needs. Heart failure does not mean that your heart has stopped or is about to stop working. It means that your heart is not able to pump blood the way it should. It can affect one or both sides of the heart.</p> <p>The weakening of the heart's pumping ability causes</p> <ul> <li>Blood and fluid to back up into the lungs</li> <li>The buildup of fluid in the feet, ankles and legs - called <a href='https://medlineplus.gov/edema.html'>edema</a></li> <li>Tiredness and shortness of breath</li> </ul> <p>Common causes of heart failure are <a href='https://medlineplus.gov/coronaryarterydisease.html'>coronary artery disease</a>, <a href='https://medlineplus.gov/highbloodpressure.html'>high blood pressure</a> and <a href='https://medlineplus.gov/diabetes.html'>diabetes</a>. It is more common in people who are 65 years old or older, African Americans, people who are overweight, and people who have had a heart attack. Men have a higher rate of heart failure than women.</p> <p>Your doctor will diagnose heart failure by doing a physical exam and heart tests. Treatment includes treating the underlying cause of your heart failure, medicines, and <a href='https://medlineplus.gov/hearttransplantation.html'>heart transplantation</a> if other treatments fail.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>",MEDLINEPLUS,,N,,,,,,,,,,,,,,,,
AT51219424,A0480547,Heart Failure,C0018801,,inability of the heart to pump blood at an adequate rate to fill tissue metabolic requirements or the ability to do so only at an elevated filling pressure.,CSP,,N,,,,,,,,,,,,,,,,
AT73541968,A12985263,Heart Failure,C0018801,,"A heterogeneous condition in which the heart is unable to pump out sufficient blood to meet the metabolic need of the body. Heart failure can be caused by structural defects, functional abnormalities (VENTRICULAR DYSFUNCTION), or a sudden overload beyond its capacity. Chronic heart failure is more common than acute heart failure which results from sudden insult to cardiac function, such as MYOCARDIAL INFARCTION.",MSH,,N,,,,,,,,,,,,,,,,
AT198029694,A7571194,Hypertensive disease,C0020538,,Blood pressure that is abnormally high.,NCI,,N,,,,,,,,,,,,,,,,
AT198078754,A7571194,Hypertensive disease,C0020538,,A disorder characterized by a pathological increase in blood pressure; a repeatedly elevation in the blood pressure exceeding 140 over 90 mm Hg.,NCI_CTCAE,,N,,,,,,,,,,,,,,,,
AT198090904,A7571194,Hypertensive disease,C0020538,,"A blood pressure of 140/90 or higher. High blood pressure usually has no symptoms. It can harm the arteries and cause an increase in the risk of stroke, heart attack, kidney failure, and blindness.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT206290926,A24672873,Hypertensive disease,C0020538,,The presence of chronic increased pressure in the systemic arterial system. [HPO:probinson],HPO,,N,,,,,,,,,,,,,,,,
AT210371803,A7571194,Hypertensive disease,C0020538,,Abnormally high blood pressure.,NCI_NICHD,,N,,,,,,,,,,,,,,,,
AT230153143,A21145030,Hypertensive disease,C0020538,,"<p>Blood pressure is the force of your blood pushing against the walls of your arteries. Each time your heart beats, it pumps blood into the arteries. Your blood pressure is highest when your heart beats, pumping the blood. This is called systolic pressure. When your heart is at rest, between beats, your blood pressure falls. This is called diastolic pressure. </p> <p>Your blood pressure reading uses these two numbers. Usually the systolic number comes before or above the diastolic number. A reading of</p> <ul> <li>119/79 or lower is normal blood pressure</li> <li>140/90 or higher is high blood pressure</li> <li>Between 120 and 139 for the top number, or between 80 and 89 for the bottom number is called prehypertension. Prehypertension means you may end up with high blood pressure, unless you take steps to prevent it.</li> </ul> <p>High blood pressure usually has no symptoms, but it can cause serious problems such as <a href='https://medlineplus.gov/stroke.html'>stroke</a>, <a href='https://medlineplus.gov/heartfailure.html'>heart failure</a>, <a href='https://medlineplus.gov/heartattack.html'>heart attack</a> and <a href='https://medlineplus.gov/kidneyfailure.html'>kidney failure</a>.</p> <p>You can control high blood pressure through <a href='https://medlineplus.gov/howtopreventhighbloodpressure.html'>healthy lifestyle habits</a> such as exercise and the <a href='https://medlineplus.gov/dashdiet.html'>DASH diet</a> and taking <a href='https://medlineplus.gov/bloodpressuremedicines.html'>medicines</a>, if needed. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>",MEDLINEPLUS,,N,,,,,,,,,,,,,,,,
AT32351952,A0481367,Hypertensive disease,C0020538,,persistantly high arterial blood pressure.,CSP,,N,,,,,,,,,,,,,,,,
AT43117802,A0070978,Hypertensive disease,C0020538,,"Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more.",MSH,,N,,,,,,,,,,,,,,,,
AT210371900,A10761239,Influenza,C0021400,,"An acute viral infection of the respiratory tract, occurring in isolated cases, in epidemics, or in pandemics; it is caused by serologically different strains of viruses (influenzaviruses) designated A, B, and C, has a 3-day incubation period, and usually lasts for 3 to 10 days. It is marked by inflammation of the nasal mucosa, pharynx, and conjunctiva; headache; myalgia; often fever, chills, and prostration; and occasionally involvement of the myocardium or central nervous system.",NCI_NICHD,,N,,,,,,,,,,,,,,,,
AT220105215,A21143003,Influenza,C0021400,except to get medical care. If you get the flu,"<p>Flu is a respiratory infection caused by a number of viruses. The viruses pass through the air and enter your body through your nose or mouth. Between 5% and 20% of people in the U.S. get the flu each year. The flu can be serious or even deadly for elderly people, newborn babies, and people with certain chronic illnesses.</p> <p>Symptoms of the flu come on suddenly and are worse than those of the common cold. They may include </p> <ul> <li>Body or muscle aches</li> <li>Chills </li> <li>Cough </li> <li>Fever </li> <li>Headache </li> <li>Sore throat </li> </ul> <p>Is it a <a href='https://medlineplus.gov/commoncold.html'>cold</a> or the flu? Colds rarely cause a fever or headaches. Flu almost never causes an upset stomach. And stomach flu"" isn't really flu at all",MEDLINEPLUS,,but <a href='https://medlineplus.gov/gastroenteritis.html'>gastroenteritis</a>.</p> <p>Most people with the flu recover on their own without medical care. People with mild cases of the flu should stay home and avoid contact with others,"can also help.</p> <p >NIH: National Institute of Allergy and Infectious Diseases</p>""",N,,,,,,,,,,,,,,including hand washing
AT230073999,A10761239,Influenza,C0021400,,"An acute viral infection of the respiratory tract, occurring in isolated cases, in epidemics, or in pandemics; it is caused by serologically different strains of viruses (influenzaviruses) designated A, B, and C, has a 3-day incubation period, and usually lasts for 3 to 10 days. It is marked by inflammation of the nasal mucosa, pharynx, and conjunctiva; headache; myalgia; often fever, chills, and prostration; and occasionally involvement of the myocardium or central nervous system.",NCI,,N,,,,,,,,,,,,,,,,
AT51224296,A0481781,Influenza,C0021400,,"acute viral infection involving the respiratory tract; marked by inflammation of the nasal mucosa, the pharynx, and conjunctiva, and by headache and severe, often generalized, myalgia.",CSP,,N,,,,,,,,,,,,,,,,
AT56871674,A8599384,Influenza,C0021400,,"An acute viral infection in humans involving the respiratory tract. It is marked by inflammation of the NASAL MUCOSA; the PHARYNX; and conjunctiva, and by headache and severe, often generalized, myalgia.",MSH,,N,,,,,,,,,,,,,,,,
AT198017269,A10760421,Chronic Obstructive Airway Disease,C0024117,,"A type of lung disease marked by permanent damage to tissues in the lungs, making it hard to breathe. Chronic obstructive pulmonary disease includes chronic bronchitis, in which the bronchi (large air passages) are inflamed and scarred, and emphysema, in which the alveoli (tiny air sacs) are damaged. It develops over many years and is usually caused by cigarette smoking.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198115703,A10760421,Chronic Obstructive Airway Disease,C0024117,,"A chronic and progressive lung disorder characterized by the loss of elasticity of the bronchial tree and the air sacs, destruction of the air sacs wall, thickening of the bronchial wall, and mucous accumulation in the bronchial tree. The pathologic changes result in the disruption of the air flow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough, and chest tightness. The two main types of chronic obstructive pulmonary disease are chronic obstructive bronchitis and emphysema.",NCI,,N,,,,,,,,,,,,,,,,
AT220105859,A24183307,Chronic Obstructive Airway Disease,C0024117,,"<p>COPD (chronic obstructive pulmonary disease) makes it hard for you to breathe. The two main types are <a href='https://medlineplus.gov/chronicbronchitis.html'>chronic bronchitis</a> and <a href='https://medlineplus.gov/emphysema.html'>emphysema</a>. The main cause of COPD is long-term exposure to substances that irritate and damage the lungs. This is usually cigarette smoke. Air pollution, chemical fumes, or dust can also cause it.</p> <p>At first, COPD may cause no symptoms or only mild symptoms. As the disease gets worse, symptoms usually become more severe. They include</p> <ul> <li>A cough that produces a lot of mucus</li> <li>Shortness of breath, especially with physical activity</li> <li>Wheezing</li> <li>Chest tightness</li> </ul> <p>Doctors use lung function tests, imaging tests, and blood tests to diagnose COPD. There is no cure. Treatments may relieve symptoms. They include medicines, oxygen therapy, surgery, or a lung transplant. <a href='https://medlineplus.gov/quittingsmoking.html'>Quitting smoking</a> is the most important step you can take to treat COPD. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>",MEDLINEPLUS,,N,,,,,,,,,,,,,,,,
AT225123238,A24666862,Chronic Obstructive Airway Disease,C0024117,,"An anomaly that is characterized progressive airflow obstruction that is only partly reversible, inflammation in the airways, and systemic effects or comorbities. [PMID:25943942]",HPO,,N,,,,,,,,,,,,,,,,
AT32351267,A0594783,Chronic Obstructive Airway Disease,C0024117,,"chronic, irreversible obstruction of air flow from the lungs.",CSP,,N,,,,,,,,,,,,,,,,
