CUI	AUI	ATUI	SATUI	SAB	DEF	SUPPRESS	CVF	cui2								
C0006266	A0032857	AT38143173	NULL	MSH	Spasmodic contraction of the smooth muscle of the bronchi.	N	NULL	C0006266								
C0006277	A0032893	AT100258967	NULL	MSH	Inflammation of the large airways in the lung including any part of the BRONCHI, from the PRIMARY BRONCHI to the TERTIARY BRONCHI.	N	NULL	C0006277								
C0006277	A7569232	AT197967170	NULL	NCI	An acute or chronic inflammatory process affecting the bronchi.	N	NULL	C0006277								
C0006277	A7569232	AT198004641	NULL	NCI_NCI-GLOSS	Inflammation (swelling and reddening) of the bronchi.	N	NULL	C0006277								
C0006277	A7569232	AT198041822	NULL	NCI_CTCAE	A disorder characterized by an infectious process involving the bronchi.	N	NULL	C0006277								
C0006277	A24679156	AT206290272	NULL	HPO	Inflammation of the large airways in the lung including any part of the bronchi from the primary bronchi to the tertiary bronchi. [HPO:probinson]	N	NULL	C0006277								
C0006277	A7569232	AT210369870	NULL	NCI_NICHD	Inflammation of the bronchi.	N	NULL	C0006277								
C0033931	A0107501	AT38143801	NULL	MSH	A group of disorders characterized by physical symptoms that are affected by emotional factors and involve a single organ system, usually under AUTONOMIC NERVOUS SYSTEM control. (American Psychiatric Glossary, 1988)	N	NULL	C0033931								
C0033931	A0487715	AT51218598	NULL	CSP	characterized by physical symptoms and demonstrable structural or physiological changes in which emotional factors are believed to play a major etiologic role.	N	NULL	C0033931								
C0085129	A0032850	AT38142948	NULL	MSH	Tendency of the smooth muscle of the tracheobronchial tree to contract more intensely in response to a given stimulus than it does in the response seen in normal individuals. This condition is present in virtually all symptomatic patients with asthma. The most prominent manifestation of this smooth muscle contraction is a decrease in airway caliber that can be readily measured in the pulmonary function laboratory.	N	NULL	C0085129								
C0282556	A7664876	AT198115599	NULL	NCI	Classified as bronchodilators (beta-adrenoreceptor agonists, xanthines, muscarinic-receptor antagonists) and anti-inflammatory agents (glucocorticoids, cromolyn), natural or synthetic Anti-asthmatic Agents relieve asthma (a recurrent airway obstruction) in multiple ways and at various sites, by reducing bronchial spasm, dyspnea, allergic reaction, local inflammation, and pain. Other agents, such as anti-histamine and antibiotics, may also be used in asthma. (NCI04)	N	NULL	C0282556								
C0282556	A0534883	AT38146664	NULL	MSH	Drugs that are used to treat asthma.	N	NULL	C0282556								
C0043144	A16770101	AT197998242	NULL	NCI	A symptom and a finding during physical examination, characterized by a high-pitched, whistling sound during breathing. It results from the narrowing or obstruction of the respiratory airways. The most common causes of wheezing are asthma, chronic obstructive pulmonary disease, tracheobronchitis, and pulmonary edema.	N	NULL	C0043144								
C0043144	A16770101	AT198109166	NULL	NCI_CTCAE	A disorder characterized by a high-pitched, whistling sound during breathing. It results from the narrowing or obstruction of the respiratory airways.	N	NULL	C0043144								
C0043144	A16770101	AT210375738	NULL	NCI_NICHD	A high-pitched breath sound resulting from a narrowing or obstruction of the small airways.	N	NULL	C0043144								
C0043144	A27328601	AT218143841	NULL	HPO	A high-pitched whistling sound associated with labored breathing. [HPO:probinson]	N	NULL	C0043144								
C0013404	A7570184	AT198004788	NULL	NCI	An uncomfortable sensation of difficulty breathing. It may present as an acute or chronic sign of an underlying respiratory or heart disorder.	N	NULL	C0013404								
C0013404	A7570184	AT198041951	NULL	NCI_CTCAE	A disorder characterized by an uncomfortable sensation of difficulty breathing.	N	NULL	C0013404								
C0013404	A7570184	AT198128048	NULL	NCI_NCI-GLOSS	Difficult, painful breathing or shortness of breath.	N	NULL	C0013404								
C0013404	A7570184	AT205728937	NULL	NCI_CDISC	Includes dyspnea on exertion, dyspnea at rest, orthopnea, and paroxysmal nocturnal dyspnea.	N	NULL	C0013404								
C0013404	A24673140	AT206288615	NULL	HPO	Difficult or labored breathing. [HPO:probinson]	N	NULL	C0013404								
C0013404	A7570184	AT210375651	NULL	NCI_NICHD	A sensation of discomfort with breathing.	N	NULL	C0013404								
C0013404	A0052186	AT38145447	NULL	MSH	Difficult or labored breathing.	N	NULL	C0013404								
C0013404	A0478206	AT58741053	NULL	CSP	labored or difficult breathing associated with a variety of disorders, indicating inadequate ventilation or low blood oxygen or a subjective experience of breathing discomfort.	N	NULL	C0013404								
C0553668	A19036282	AT210375305	NULL	NCI	Breathing that requires observed effort or an increased amount of energy.	N	NULL	C0553668								
C0553668	A19036282	AT210375770	NULL	NCI_NICHD	Breathing that requires observed effort or an increased amount of energy.	N	NULL	C0553668								
C0004096	A0027339	AT100259356	NULL	MSH	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	N	NULL	C0004096								
C0004096	A7568911	AT197954761	NULL	NCI	A chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways.	N	NULL	C0004096								
C0004096	A7568911	AT197979559	NULL	NCI_NCI-GLOSS	A chronic disease in which the bronchial airways in the lungs become narrowed and swollen, making it difficult to breathe. Symptoms include wheezing, coughing, tightness in the chest, shortness of breath, and rapid breathing. An attack may be brought on by pet hair, dust, smoke, pollen, mold, exercise, cold air, or stress.	N	NULL	C0004096								
C0004096	A24682200	AT206283395	NULL	HPO	Asthma is characterized by increased responsiveness of the tracheobronchial tree to multiple stimuli, leading to narrowing of the air passages with resultant dyspnea, cough, and wheezing. [HPO:probinson]	N	NULL	C0004096								
C0004096	A7568911	AT210366045	NULL	NCI_NICHD	A chronic respiratory disease caused by obstruction of the bronchi and small airways, and characterized by wheezing and shortness of breath.	N	NULL	C0004096								
C0004096	A21143704	AT220107105	NULL	MEDLINEPLUS	<p>Asthma is a chronic disease that affects your airways. Your airways are tubes that carry air in and out of your lungs. If you have asthma, the inside walls of your airways become sore and swollen. That makes them very sensitive, and they may react strongly to things that you are <a href='https://medlineplus.gov/allergy.html'>allergic</a> to or find irritating. When your airways react, they get narrower and your lungs get less air.</p> <p>Symptoms of asthma include</p> <ul> <li>Wheezing</li> <li>Coughing, especially early in the morning or at night</li> <li>Chest tightness</li> <li>Shortness of breath</li> </ul> <p>Not all people who have asthma have these symptoms. Having these symptoms doesn't always mean that you have asthma. Your doctor will diagnose asthma based on lung function tests, your medical history, and a physical exam. You may also have allergy tests.</p> <p>When your asthma symptoms become worse than usual, it's called an asthma attack. Severe asthma attacks may require emergency care, and they can be fatal.</p> <p>Asthma is treated with two kinds of medicines: quick-relief medicines to stop asthma symptoms and long-term control medicines to prevent symptoms. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>	N	NULL	C0004096								
C0004096	A0474097	AT51224101	NULL	CSP	form of bronchial disorder associated with airway obstruction, marked by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi.	N	NULL	C0004096								
C0038218	A27414137	AT206300721	NULL	HPO	Severe asthma unresponsive to repeated courses of beta-agonist therapy such as inhaled albuterol, levalbuterol, or subcutaneous epinephrine. [HPO:probinson, pmid:22794687]	N	NULL	C0038218								
C0038218	A25761718	AT210372755	NULL	NCI	An acute exacerbation of asthma, characterized by inadequate response to initial bronchodilators.	N	NULL	C0038218								
C0038218	A25761718	AT210373633	NULL	NCI_NICHD	An acute exacerbation of asthma, characterized by an inadequate response to the initial use of bronchodilators and the progressive worsening of bronchial obstruction and shortness of breath, which can result in the need for mechanical ventilation and/or possibly death.	N	NULL	C0038218								
C0038218	A0119369	AT38137815	NULL	MSH	A sudden intense and continuous aggravation of a state of asthma, marked by dyspnea to the point of exhaustion and collapse and not responding to the usual therapeutic efforts.	N	NULL	C0038218								
C2984299	A19049597	AT198012345	NULL	NCI_KEGG	Inhaled allergens encounter antigen presenting cells (APC) that line the airway. Upon recognition of the antigen and activation by APC, naive T cells differentiate into Th2 cells, a process that is promoted by interleukin 4 (IL-4). Activated Th2 cells stimulate B cells to produce IgE antibodies in response to IL-4 and IL-13. IgE binds the high affinity IgE receptor at the surface of mast cells, the proliferation and differentiation of which is promoted by IL-9.The crosslinking of mast-cell-bound IgE by allergens leads to the release of biologically active mediators (histamine, leukotrienes) by means of degranulation and, so, to the immediate symptoms of allergy. Activated mast cells and Th2 cells also induce the production of IL-5. IL-5 travels to the bone marrow and regulates the differentiation and egress of eosinophils from the bone marrow into the blood. Moreover activated mast cells and Th2 cells in the lung generate the cytokines interleukin IL-4, IL-13 and tumour necrosis factor (TNF)-alpha. These cytokines stimulate the generation of eotaxin by lung epithelial cells, fibroblasts and smooth muscle cells. Eotaxin then stimulates the selective recruitment of eosinophils from the airway microvessels into the lung tissue. The activation of eosinophils leads to release of toxic granules and oxygen free radicals that lead to tissue damage and promote the development of chronic inflammation.	N	NULL	C2984299								
C0037763	A0118123	AT100259287	NULL	MSH	An involuntary contraction of a muscle or group of muscles. Spasms may involve SKELETAL MUSCLE or SMOOTH MUSCLE.	N	NULL	C0037763								
C0037763	A10765388	AT198006560	NULL	NCI_NCI-GLOSS	A sudden contraction of a muscle or group of muscles, such as a cramp.	N	NULL	C0037763								
C0037763	A10765388	AT198068170	NULL	NCI	A sudden, violent, involuntary contraction of a muscle or group of muscles.	N	NULL	C0037763								
C0037763	A10765388	AT198142089	NULL	NCI_FDA	A sudden, violent, involuntary contraction of a muscle or group of muscles.	N	NULL	C0037763								
C0037763	A0489401	AT51222367	NULL	CSP	a sudden, violent, involuntary contraction of a muscle or a group of muscles, attended by pain and interference with function, producing involuntary movement and distortion.	N	NULL	C0037763								
C0035204	A24370186	AT198016777	NULL	NCI	A non-neoplastic or neoplastic disorder that affects the respiratory system. Representative examples include pneumonia, chronic obstructive pulmonary disease, pulmonary failure, lung adenoma, lung carcinoma, and tracheal carcinoma.	N	NULL	C0035204								
C0035204	A0111363	AT38154945	NULL	MSH	Diseases of the respiratory system in general or unspecified or for a specific respiratory disease not available.	N	NULL	C0035204								
C0035204	A0488368	AT51225271	NULL	CSP	condition in which there is a deviation from or interruption of the normal structure or function of the respiratory system.	N	NULL	C0035204								
C0004099	A24667756	AT206290348	NULL	HPO	Asthma attacks following exercise. [HPO:probinson]	N	NULL	C0004099								
C0004099	A0027346	AT38153896	NULL	MSH	Asthma attacks following a period of exercise. Usually the induced attack is short-lived and regresses spontaneously. The magnitude of postexertional airway obstruction is strongly influenced by the environment in which exercise is performed (i.e. inhalation of cold air during physical exertion markedly augments the severity of the airway obstruction; conversely, warm humid air blunts or abolishes it).	N	NULL	C0004099								
C0005587	A7569126	AT198140601	NULL	NCI	The depressive stage of bipolar disorder.	N	NULL	C0005587								
C0005587	A0474782	AT51222668	NULL	CSP	severe disorder characterized by one or more manic episodes; although diagnosis does not require a major depressive episode, virtually all cases eventually develop one.	N	NULL	C0005587								
C0024713	A7607404	AT220000490	NULL	NCI	The manic phase of bipolar disorder.	N	NULL	C0024713								
C0024713	A0318481	AT51224351	NULL	CSP	manic episode of the major affective disorder bipolar depression; tendency to remission and recurrence and to swing to the major depressive episode.	N	NULL	C0024713								
C1269683	A6956549	AT38146905	NULL	MSH	Marked depression appearing in the involution period and characterized by hallucinations, delusions, paranoia, and agitation.	N	NULL	C1269683								
C1269683	A0483241	AT51220030	NULL	CSP	one or more periods of depression in the absence of history of manic or hypomanic episodes; chronic type lasts 2 or more years; melancholic type is more severe, has vegetative signs, and responds well to somatic therapy.	N	NULL	C1269683								
C0001723	A7576259	AT219997731	NULL	NCI	The manifestation of psychotic symptoms, such as hallucinations or delusions, in the presence of a mood disorder.	N	NULL	C0001723								
C0001723	A0020491	AT38149598	NULL	MSH	Disorders in which the essential feature is a severe disturbance in mood (depression, anxiety, elation, and excitement) accompanied by psychotic symptoms such as delusions, hallucinations, gross impairment in reality testing, etc.	N	NULL	C0001723								
C0011581	A28681689	AT230523362	NULL	HPO	Frequent feelings of being down, miserable, and/or hopeless; difficulty recovering from such moods; pessimism about the future; pervasive shame; feeling of inferior self-worth; thoughts of suicide and suicidal behavior. [HPO:probinson, PMID:23902698]	N	NULL	C0011581								
C0011581	A0047142	AT38145943	NULL	MSH	An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.	N	NULL	C0011581								
C0338831	A12811609	AT198020599	NULL	NCI_CTCAE	A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood.	N	NULL	C0338831								
C0338831	A12811609	AT230074030	NULL	NCI	Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.	N	NULL	C0338831								
C0525045	A19028206	AT198073978	NULL	NCI	A category of psychiatric disorders which have as their most predominant feature a disturbance in mood.	N	NULL	C0525045								
C0525045	A21143122	AT220106139	NULL	MEDLINEPLUS	<p>Most people feel sad or irritable from time to time. They may say they're in a bad mood. A mood disorder is different. It affects a person's everyday emotional state. Nearly one in ten people aged 18 and older have mood disorders. These include <a href='https://medlineplus.gov/depression.html'>depression</a> and <a href='https://medlineplus.gov/bipolardisorder.html'>bipolar disorder</a> (also called manic depression).</p> <p>Mood disorders can increase a person's risk for heart disease, diabetes, and other diseases. Treatments include medication, psychotherapy, or a combination of both. With treatment, most people with mood disorders can lead productive lives.</p>	N	NULL	C0525045								
C0525045	A0436014	AT38148772	NULL	MSH	Those disorders that have a disturbance in mood as their predominant feature.	N	NULL	C0525045								
C0525045	A0319466	AT51219446	NULL	CSP	emotional behavior inappropriate for one's age or circumstances, characterized by unusual excitability, guilt, anxiety, or hostility.	N	NULL	C0525045								
C0010598	A0044551	AT38151264	NULL	MSH	An affective disorder characterized by periods of depression and hypomania. These may be separated by periods of normal mood.	N	NULL	C0010598								
C0010598	A0477082	AT51225505	NULL	CSP	chronic mood disturbance of at least 2 years' duration involving numerous hypomanic episodes separated by periods of depression or loss of pleasure or interest.	N	NULL	C0010598								
C0004936	A7616019	AT197967125	NULL	NCI	A disorder characterized by behavioral and/or psychological abnormalities, often accompanied by physical symptoms. The symptoms may cause clinically significant distress or impairment in social and occupational areas of functioning. Representative examples include anxiety disorders, cognitive disorders, mood disorders and schizophrenia.	N	NULL	C0004936								
C0004936	A21145092	AT220106820	NULL	MEDLINEPLUS	<p>Mental disorders include a wide range of problems, including</p> <ul> <li><a href='https://medlineplus.gov/anxiety.html'>Anxiety disorders</a>, including <a href='https://medlineplus.gov/panicdisorder.html'>panic disorder</a>, <a href='https://medlineplus.gov/obsessivecompulsivedisorder.html'>obsessive-compulsive disorder</a>, <a href='https://medlineplus.gov/posttraumaticstressdisorder.html'>post-traumatic stress disorder</a>, and <a href='https://medlineplus.gov/phobias.html'>phobias</a></li> <li><a href='https://medlineplus.gov/bipolardisorder.html'>Bipolar disorder</a></li> <li><a href='https://medlineplus.gov/depression.html'>Depression</a></li> <li><a href='https://medlineplus.gov/mooddisorders.html'>Mood disorders</a></li> <li><a href='https://medlineplus.gov/personalitydisorders.html'>Personality disorders</a></li> <li><a href='https://medlineplus.gov/psychoticdisorders.html'>Psychotic disorders</a>, including <a href='https://medlineplus.gov/schizophrenia.html'>schizophrenia</a></li> </ul> <p>There are many causes of mental disorders. Your genes and family history may play a role. Your life experiences, such as stress or a history of abuse, may also matter. Biological factors can also be part of the cause. A traumatic brain injury can lead to a mental disorder. A mother's exposure to viruses or toxic chemicals while pregnant may play a part. Other factors may increase your risk, such as use of illegal drugs or having a serious medical condition like cancer.</p> <p>Medications and counseling can help many mental disorders. </p>	N	NULL	C0004936								
C0004936	A0084850	AT38150979	NULL	MSH	Psychiatric illness or diseases manifested by breakdowns in the adaptational process expressed primarily as abnormalities of thought, feeling, and behavior producing either distress or impairment of function.	N	NULL	C0004936								
C0004936	A0483600	AT51221287	NULL	CSP	any of various conditions characterized by impairment of an individual's normal cognitive, emotional, or behavioral functioning, and caused by social, psychological, biochemical, genetic, or other factors, such as infection or head trauma; note behavior disorders are a subset of mental disorder.	N	NULL	C0004936								
C0010054	A24678116	AT206294256	NULL	HPO	Coronary artery disease, also called atherosclerotic heart disease, is the result of atheromatous plaques within the coronary arteries leading to myocardial ischemia and infarction. [HPO:curators]	N	NULL	C0010054								
C0010054	A7569775	AT220002935	NULL	NCI	Atherosclerosis of the coronary vasculature.	N	NULL	C0010054								
C0010054	A12989984	AT73495058	NULL	MSH	Thickening and loss of elasticity of the CORONARY ARTERIES, leading to progressive arterial insufficiency (CORONARY DISEASE).	N	NULL	C0010054								
C1956346	A17693073	AT197954630	NULL	NCI	Narrowing of the coronary arteries due to fatty deposits inside the arterial walls. The diagnostic criteria may include documented history of any of the following: documented coronary artery stenosis greater than or equal to 50% (by cardiac catheterization or other modality of direct imaging of the coronary arteries); previous coronary artery bypass surgery (CABG); previous percutaneous coronary intervention (PCI); previous myocardial infarction. (ACC)	N	NULL	C1956346								
C1956346	A24682111	AT206293710	NULL	HPO	Reduction of the diameter of the coronary arteries as the result of an accumulation of atheromatous plaques within the walls of the coronary arteries, which increases the risk of myocardial ischemia. [HPO:probinson]	N	NULL	C1956346								
C1956346	A21144940	AT220107245	NULL	MEDLINEPLUS	<p>Coronary artery disease (CAD) is the most common type of heart disease. It is the leading cause of death in the United States in both men and women.</p> <p>CAD happens when the arteries that supply blood to heart muscle become hardened and narrowed. This is due to the buildup of <a href='https://medlineplus.gov/cholesterol.html'>cholesterol</a> and other material, called plaque, on their inner walls. This buildup is called <a href='https://medlineplus.gov/atherosclerosis.html'>atherosclerosis</a>. As it grows, less blood can flow through the arteries. As a result, the heart muscle can't get the blood or oxygen it needs. This can lead to chest pain (<a href='https://medlineplus.gov/angina.html'>angina</a>) or a <a href='https://medlineplus.gov/heartattack.html'>heart attack</a>. Most heart attacks happen when a <a href='https://medlineplus.gov/bloodclots.html'>blood clot</a> suddenly cuts off the hearts' blood supply, causing permanent heart damage. </p> <p>Over time, CAD can also weaken the heart muscle and contribute to <a href='https://medlineplus.gov/heartfailure.html'>heart failure</a> and <a href='https://medlineplus.gov/arrhythmia.html'>arrhythmias</a>. Heart failure means the heart can't pump blood well to the rest of the body. Arrhythmias are changes in the normal beating rhythm of the heart. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>	N	NULL	C1956346								
C1956346	A12989983	AT73495022	NULL	MSH	Pathological processes of CORONARY ARTERIES that may derive from a congenital abnormality, atherosclerotic, or non-atherosclerotic cause.	N	NULL	C1956346								
C0010075	A0042935	AT43116260	NULL	MSH	The veins and arteries of the HEART.	N	NULL	C0010075								
C0010075	A0476729	AT51219877	NULL	CSP	veins and arteries of the heart.	N	NULL	C0010075								
C0010068	A0318709	AT51224470	NULL	CSP	imbalance between myocardial functional requirements and the capacity of the coronary vessels to supply sufficient blood flow.	N	NULL	C0010068								
C0010068	A0042919	AT73518889	NULL	MSH	An imbalance between myocardial functional requirements and the capacity of the CORONARY VESSELS to supply sufficient blood flow. It is a form of MYOCARDIAL ISCHEMIA (insufficient blood supply to the heart muscle) caused by a decreased capacity of the coronary vessels.	N	NULL	C0010068								
C0018821	A21144616	AT220107412	NULL	MEDLINEPLUS	<p>Heart surgery can correct problems with the heart if other treatments haven't worked or can't be used. The most common type of heart surgery for adults is <a href='https://medlineplus.gov/coronaryarterybypasssurgery.html'>coronary artery bypass grafting</a> (CABG). During CABG, a healthy artery or vein from the body is connected, or grafted, to a blocked coronary (heart) artery.</p> <p>Doctors also use heart surgery to</p> <ul> <li>Repair or replace <a href='https://medlineplus.gov/heartvalvediseases.html'>heart valves</a>, which control blood flow through the heart</li> <li>Repair abnormal or damaged structures in the heart</li> <li>Implant medical <a href='https://medlineplus.gov/pacemakersandimplantabledefibrillators.html'>devices</a> that help control the heartbeat or support heart function and blood flow</li> <li><a href='https://medlineplus.gov/hearttransplantation.html'>Replace</a> a damaged heart with a healthy heart from a donor</li> <li>Treat <a href='https://medlineplus.gov/heartfailure.html'>heart failure</a> and <a href='https://medlineplus.gov/coronaryarterydisease.html'>coronary heart disease</a></li> <li> Control <a href='https://medlineplus.gov/arrhythmia.html'>abnormal heart rhythms</a></li> </ul> <p>Heart surgery has risks, even though its results often are excellent. Risks include bleeding, infection, irregular heartbeats, and stroke. The risk is higher if you are older or a woman. The risk is also higher if you have other diseases or conditions, such as diabetes, kidney disease, lung disease, or peripheral arterial disease.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>	N	NULL	C0018821								
C0018821	A0891252	AT38147789	NULL	MSH	Surgery performed on the heart.	N	NULL	C0018821								
C0018821	A0480556	AT51218779	NULL	CSP	procedures performed on the heart, used in the treatment of disease, injuries, or deformities.	N	NULL	C0018821								
C0581603	A8256613	AT51222100	NULL	CSP	procedures performed on the blood vessels with the intent of restoring the circulation or integrity of the blood vessels and to improve circulation deficiencies due to disease, injuries, or deformities.	N	NULL	C0581603								
C0151744	A10761282	AT197956750	NULL	NCI	A disorder of cardiac function caused by insufficient blood flow to the muscle tissue of the heart. The decreased blood flow may be due to narrowing of the coronary arteries, to obstruction by a thrombus, or less commonly, to diffuse narrowing of arterioles and other small vessels within the heart. Severe interruption of the blood supply to the myocardial tissue may result in necrosis of cardiac muscle (myocardial infarction).	N	NULL	C0151744								
C0151744	A1883473	AT51219361	NULL	CSP	blood deficiency in the myocardium caused by a constriction or obstruction of its blood vessels; frequently occurs in conjunction with hypoxia, which is reduction in oxygen supply.	N	NULL	C0151744								
C0151744	A0247486	AT73497325	NULL	MSH	A disorder of cardiac function caused by insufficient blood flow to the muscle tissue of the heart. The decreased blood flow may be due to narrowing of the coronary arteries (CORONARY ARTERY DISEASE), to obstruction by a thrombus (CORONARY THROMBOSIS), or less commonly, to diffuse narrowing of arterioles and other small vessels within the heart. Severe interruption of the blood supply to the myocardial tissue may result in necrosis of cardiac muscle (MYOCARDIAL INFARCTION).	N	NULL	C0151744								
C0597087	A1200113	AT32352486	NULL	CSP	the restoration of blood supply by nonsurgical means.	N	NULL	C0597087								
C0003483	A7568836	AT198052351	NULL	NCI_NCI-GLOSS	The largest artery in the body. It carries oxygen-rich blood away from the heart to vessels that reach the rest of the body.	N	NULL	C0003483								
C0003483	A7568836	AT198101560	NULL	NCI	The major arterial trunk that carries oxygenated blood from the left ventricle into the ascending aorta behind the heart, the aortic arch, through the thorax as the descending aorta and through the abdomen as the abdominal aorta; it bifurcates into the left and right common iliac arteries.	N	NULL	C0003483								
C0003483	A7568836	AT224189146	NULL	NCI_CDISC	The major artery of the body; it arises from the left ventricle of the heart and terminally bifurcates into the common iliac arteries.	N	NULL	C0003483								
C0003483	A0025439	AT38134888	NULL	MSH	The main trunk of the systemic arteries.	N	NULL	C0003483								
C0003483	A0473792	AT51218597	NULL	CSP	main trunk from which the systemic arterial system proceeds.	N	NULL	C0003483								
C0021781	A0074939	AT38138845	NULL	MSH	Direct myocardial revascularization in which the internal mammary artery is anastomosed to the right coronary artery, circumflex artery, or anterior descending coronary artery. The internal mammary artery is the most frequent choice, especially for a single graft, for coronary artery bypass surgery.	N	NULL	C0021781								
C0018787	A0066374	AT18955258	NULL	UWDA	Organ with cavitated organ parts, which is connected to the systemic and pulmonary arterial and venous trees. Examples: There is only one heart.	N	NULL	C0018787								
C0018787	A7570969	AT198040180	NULL	NCI	A hollow organ located slightly to the left of the middle portion of the chest. It is composed of muscle and it is divided by a septum into two sides: the right side which receives de-oxygenated blood from the body and the left side which sends newly oxygenated blood to the body. Each side is composed of two chambers: the atrium (receiving blood) and ventricle (ejecting blood).	N	NULL	C0018787								
C0018787	A15475732	AT218910303	NULL	FMA	Organ with cavitated organ parts, which is continuous with the systemic and pulmonary arterial and venous trees. Examples: There is only one heart.	N	NULL	C0018787								
